FIELD CENTRE,BTY LOCATION,BTY LOCATION EDIT,FLD/AREA,BATTERY,BTY,OPER,OPERATOR,OIL PROD,OIL RECEIPT,OIL OP INV,OIL CL INV,OIL DELIVS,GAS PROD,GAS RECEIPT,LEASE FUEL,GAS FLARED,GAS VENTED,GAS M DIFF,GAS DELIVS,WTR PROD,WTR RECEIPT,WTR OP INV,WTR CL INV,WTR M DIFF,WTR DELIV,TOTAL,LICENCE,BTY
Bonnyville,654042102,02-21-065-04W4,,ABBT0051212,344,7,Imperial Oil Resources Limited,266515.2,67537.8,5177.1,4845.1,332389.1,12346.6,62532.8,1178.2,240.1,11.1,0,73450,1148670.1,26781.3,177.5,235.2,0,1175972.2,1845,F14314,In Situ Oil Sands-BT
Bonnyville,664032311,11-23-066-03W4,564,ABBT0119087,344,7,Imperial Oil Resources Limited,74825.3,15811,2568.6,2435.9,90298.7,4601.5,39454,33.4,116.9,1.5,0,43903.7,353018.6,43073.4,7348.9,6575.5,0,396865.4,240,F42011,In Situ Oil Sands-BT
Bonnyville,654041210,10-12-065-04W4,,ABBT0051211,344,7,Imperial Oil Resources Limited,164931.2,618085.6,6388.8,5838.6,878466,6626.8,41117.4,82.6,81.3,4,0,47576.3,857744.5,26461,112.4,167.3,0,884150.6,1452,F14283,In Situ Oil Sands-BT
Bonnyville,654030514,14-05-065-03W4,,ABBT1330520,344,7,Imperial Oil Resources Limited,45631.8,74627.5,2744.1,2683.4,62364.8,2529.4,17321.8,7.4,15.3,0.4,0,19828.1,236058.1,2838.8,0,0,0,238896.9,373,F14238,In Situ Oil Sands-BT
Bonnyville,644033315,15-33-064-03W4,355,ABBT0111783,344,7,Imperial Oil Resources Limited,155793.6,57335.9,863.2,934.2,195306.7,9864.5,49057,33.4,5.9,1.1,0,58881.1,710686.2,93117,7500.2,7017.7,0,804538.9,875,F22779,In Situ Oil Sands-BT
Grande Prairie,756070615,15-06-075-07W6,546,ABBT0154657,311,26,Ovintiv Canada ULC,74.6,0,0,0,74.6,404,7.5,3,4.5,0.3,0,403.7,205.7,0,0,0,0,205.7,1,W495254,Crude Oil Single
Calgary,224230510,10-05-022-23W4,138,ABBT0054860,311,26,Ovintiv Canada ULC,0,0,0,0,0,4.2,0,0.3,0,0.1,0,3.8,0,0,0,0,0,0,1,W193368,Crude Oil Single
Calgary,214233201,01-32-021-23W4,467,ABBT0056058,311,26,Ovintiv Canada ULC,0,0,0,0,0,1.8,0,0.3,0,0.1,0,1.4,0,0,0,0,0,0,1,W193369,Crude Oil Single
Calgary,214232005,05-20-021-23W4,805,ABBT0059615,311,26,Ovintiv Canada ULC,0,0,0,0,0,6.6,0,0.3,0,0,0,6.3,0,0,0,0,0,0,1,W197035,Crude Oil Single
Grande Prairie,756081709,09-17-075-08W6,920,ABBT0088137,311,26,Ovintiv Canada ULC,4.3,0,0,0,4.3,59.8,12.2,11.5,0,0.7,0,59.8,0.5,0,0,0,0,0.5,1,F35456,Crude Oil Single
Calgary,224240214,14-02-022-24W4,467,ABBT0114746,311,26,Ovintiv Canada ULC,3.6,0,22.5,26.1,0,10.9,0,0.5,0,0.1,0,10.3,0.5,0,3,3.5,0,0,1,W134267,Crude Oil Single
Calgary,224230805,05-08-022-23W4,138,ABBT0114747,311,26,Ovintiv Canada ULC,0,0,3.2,3.2,0,8.4,0,0.4,0,0.9,0,7.1,0,0,0.4,0.4,0,0,1,W200971,Crude Oil Single
Calgary,214241316,16-13-021-24W4,467,ABBT0119484,311,26,Ovintiv Canada ULC,20.5,0,18,38.5,0,36.2,0,0.4,0,0.8,0,35,1.6,0,1.5,3.1,0,0,1,W188710,Crude Oil Single
Grande Prairie,746073015,15-30-074-07W6,546,ABBT0126345,311,26,Ovintiv Canada ULC,38,0,13.2,5.9,45.3,76.3,10.7,9.8,0,1.2,0,76,0,0,20.7,13.2,0,27.8,1,W452416,Crude Oil Single
Grande Prairie,756081205,05-12-075-08W6,546,ABBT0127599,311,26,Ovintiv Canada ULC,30.3,0,0,0,30.3,192.7,16.7,16.4,0,0.3,0,192.7,8.7,0,0,0,0,8.7,1,W449989,Crude Oil Single
Grande Prairie,746072808,08-28-074-07W6,546,ABBT0134261,311,26,Ovintiv Canada ULC,72.9,0,42.5,42.3,73.1,119.7,212.2,10.7,0,2.3,0,318.9,158.7,0,16.8,16.8,0,158.7,1,W468001,Crude Oil Single
Grande Prairie,706093416,16-34-070-09W6,333,ABBT0135153,381,26,Ovintiv Canada ULC,0,0,0,0,0,0,155.9,2340.9,0,0,0,0,0,0,0,0,0,0,0,,Drilling and Completing
Edmonton,615223607,07-36-061-22W5,433,ABBT0056167,311,39,Repsol Oil & Gas Canada Inc.,77.4,0,45.1,43.2,79.3,13.6,0,0.8,10.3,2.5,0,0,0.7,0,1,0.6,0,1.1,1,F13776,Crude Oil Single
Edmonton,605210214,14-02-060-21W5,514,ABBT0155049,311,39,Repsol Oil & Gas Canada Inc.,22,0,19.3,41.3,0,2.5,0,0,2.5,0,0,0,1.5,0,1.3,2.8,0,0,1,W446452,Crude Oil Single
Edmonton,605220213,13-02-060-22W5,130,ABBT0058550,311,39,Repsol Oil & Gas Canada Inc.,19.9,0,27.8,13.3,34.4,4.2,0,0,0,0,0,4.2,0,0,0.7,0.3,0,0.4,1,W162593,Crude Oil Single
Drayton Valley,545210416,16-04-054-21W5,879,ABBT0085103,311,39,Repsol Oil & Gas Canada Inc.,81.6,0,18.9,18.1,82.4,15.3,0,4.4,0,0.3,0,10.6,6.1,0,3.1,2.9,0,6.3,1,W318641,Crude Oil Single
Drayton Valley,515203404,04-34-051-20W5,58,ABBT0093170,311,39,Repsol Oil & Gas Canada Inc.,13.7,0,0,0,13.7,44.1,0,0.4,0,0.6,0,43.1,15.3,0,2.9,5.2,0,13,1,W336364,Crude Oil Single
Drayton Valley,595220216,16-02-059-22W5,514,ABBT0155032,311,39,Repsol Oil & Gas Canada Inc.,8.7,0,10.9,19.6,0,26.6,0,0.7,0,0.4,0,25.5,1,0,1.4,2.4,0,0,1,W437280,Crude Oil Single
Edmonton,605220202,02-02-060-22W5,514,ABBT0155048,311,39,Repsol Oil & Gas Canada Inc.,17.3,0,32.6,19.2,30.7,5.9,0,0,0,0.1,0,5.8,1.6,0,2.4,1.4,0,2.6,1,W444684,Crude Oil Single
Edmonton,605220210,10-02-060-22W5,514,ABBT0155050,311,39,Repsol Oil & Gas Canada Inc.,30.4,0,29.2,59.6,0,24,0,0,0,0,0,24,1.2,0,1.1,2.3,0,0,1,W449733,Crude Oil Single
Drayton Valley,595220102,02-01-059-22W5,514,ABBT0155055,322,39,Repsol Oil & Gas Canada Inc.,24.8,0,19.7,44.5,0,225.6,0,40.4,0,1.9,0,183.3,11.2,0,8.8,20,0,0,3,F44869,Crude Oil Proration
Edmonton,605211314,14-13-060-21W5,514,ABBT0155056,322,39,Repsol Oil & Gas Canada Inc.,135.4,0,34.5,74.5,95.4,82.4,0,42.2,0,2.6,0,37.6,10.3,0,3.9,8.4,0,5.8,3,F45707,Crude Oil Proration
Edmonton,635161011,11-10-063-16W5,915,ABBT0143349,311,45,Chevron Canada Limited,188.2,0,5.2,26,167.4,17.8,0,0,0,1.8,0,16,54.6,0,0,21,0,33.6,1,W455735,Crude Oil Single
Fort McMurray,954061109,09-11-095-06W4,,ABBT0078417,345,54,Suncor Energy Inc.,1101596.3,269137.2,47841.9,45690.8,1369350.4,3399.7,245237.9,10191.5,2199.8,1.7,0,236244.6,2887871.9,71577.7,15405.8,14955.5,0,3025520.2,706,F35535,Sulphur at Oil Sands
