finger,height
10,56
10.3,57
9.9,58
10.2,58
10.2,58
10.3,58
10.4,58
10.7,58
10,59
10.1,59
10.2,59
10.2,59
10.3,59
10.3,59
10.3,59
10.4,59
10.5,59
10.6,59
10.7,59
10.7,59
10.8,59
10.8,59
11,59
11,59
11.1,59
11.1,59
11.1,59
11.2,59
11.2,59
11.2,59
11.3,59
9.9,60
10,60
10,60
10.1,60
10.1,60
10.1,60
10.2,60
10.2,60
10.3,60
10.3,60
10.4,60
10.4,60
10.5,60
10.5,60
10.5,60
10.6,60
10.6,60
10.6,60
10.6,60
10.7,60
10.7,60
10.7,60
10.7,60
10.8,60
10.8,60
10.8,60
10.8,60
10.8,60
10.9,60
10.9,60
11,60
11,60
11,60
11,60
11,60
11,60
11.1,60
11.1,60
11.1,60
11.2,60
11.2,60
11.4,60
11.4,60
11.4,60
11.6,60
11.6,60
11.8,60
11.9,60
9.5,61
10.1,61
10.2,61
10.3,61
10.3,61
10.4,61
10.4,61
10.4,61
10.5,61
10.5,61
10.5,61
10.5,61
10.5,61
10.5,61
10.5,61
10.6,61
10.6,61
10.6,61
10.6,61
10.6,61
10.7,61
10.7,61
10.7,61
10.7,61
10.7,61
10.7,61
10.7,61
10.7,61
10.7,61
10.8,61
10.8,61
10.8,61
10.8,61
10.8,61
10.8,61
10.9,61
10.9,61
10.9,61
10.9,61
10.9,61
10.9,61
11,61
11,61
11,61
11,61
11,61
11,61
11,61
11,61
11,61
11,61
11,61
11,61
11.1,61
11.1,61
11.1,61
11.1,61
11.1,61
11.1,61
11.1,61
11.1,61
11.1,61
11.1,61
11.1,61
11.1,61
11.2,61
11.2,61
11.2,61
11.2,61
11.2,61
11.2,61
11.2,61
11.3,61
11.3,61
11.3,61
11.3,61
11.3,61
11.4,61
11.4,61
11.4,61
11.4,61
11.5,61
11.5,61
11.5,61
11.5,61
11.5,61
11.6,61
11.7,61
11.7,61
11.9,61
9.8,62
9.9,62
10,62
10,62
10.3,62
10.3,62
10.3,62
10.4,62
10.4,62
10.4,62
10.5,62
10.5,62
10.5,62
10.5,62
10.5,62
10.5,62
10.6,62
10.6,62
10.6,62
10.6,62
10.6,62
10.6,62
10.6,62
10.6,62
10.6,62
10.7,62
10.7,62
10.7,62
10.7,62
10.7,62
10.7,62
10.7,62
10.7,62
10.7,62
10.7,62
10.7,62
10.7,62
10.7,62
10.7,62
10.8,62
10.8,62
10.8,62
10.8,62
10.8,62
10.8,62
10.8,62
10.8,62
10.8,62
10.8,62
10.8,62
10.8,62
10.8,62
10.8,62
10.9,62
10.9,62
10.9,62
10.9,62
10.9,62
10.9,62
10.9,62
10.9,62
10.9,62
10.9,62
10.9,62
10.9,62
10.9,62
10.9,62
11,62
11,62
11,62
11,62
11,62
11,62
11,62
11,62
11,62
11,62
11,62
11,62
11,62
11,62
11,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.1,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.2,62
11.3,62
11.3,62
11.3,62
11.3,62
11.3,62
11.3,62
11.3,62
11.3,62
11.3,62
11.3,62
11.4,62
11.4,62
11.4,62
11.4,62
11.4,62
11.4,62
11.4,62
11.4,62
11.4,62
11.5,62
11.5,62
11.5,62
11.5,62
11.5,62
11.5,62
11.5,62
11.5,62
11.5,62
11.5,62
11.5,62
11.6,62
11.6,62
11.6,62
11.6,62
11.7,62
11.7,62
11.7,62
11.7,62
11.7,62
11.7,62
11.7,62
11.7,62
11.7,62
11.8,62
11.8,62
11.9,62
11.9,62
12,62
12.2,62
12.4,62
10.1,63
10.2,63
10.2,63
10.3,63
10.3,63
10.3,63
10.3,63
10.3,63
10.4,63
10.4,63
10.4,63
10.4,63
10.5,63
10.5,63
10.5,63
10.5,63
10.6,63
10.6,63
10.6,63
10.6,63
10.6,63
10.6,63
10.6,63
10.6,63
10.6,63
10.6,63
10.6,63
10.6,63
10.6,63
10.6,63
10.7,63
10.7,63
10.7,63
10.7,63
10.7,63
10.7,63
10.7,63
10.7,63
10.7,63
10.7,63
10.7,63
10.7,63
10.7,63
10.7,63
10.7,63
10.7,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.8,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
10.9,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.1,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.2,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
11.3,63
