finger, height,wt
10.9,64,7.281553398
10.7,61,7.281553398
10.8,64,7.281553398
10.6,64,7.281553398
11.4,64,7.281553398
11.1,62,7.281553398
10.9,64,7.281553398
10.9,62,7.281553398
11.6,67,87.37864078
10.7,65,14.5631068
10.8,63,7.281553398
10.9,65,14.5631068
11.8,64,7.281553398
10.9,63,7.281553398
11.9,65,14.5631068
11.6,65,14.5631068
11.5,63,7.281553398
11,65,14.5631068
10.9,63,7.281553398
11.1,63,7.281553398
11.4,64,7.281553398
11.5,64,7.281553398
11.1,64,7.281553398
11.9,64,7.281553398
11.6,63,7.281553398
11.6,64,7.281553398
10.7,64,7.281553398
11.2,64,7.281553398
11.7,64,7.281553398
11.7,62,7.281553398
11.4,65,14.5631068
11.2,64,7.281553398
11.5,61,7.281553398
11.6,60,7.281553398
11.3,64,7.281553398
11,63,7.281553398
10.9,64,7.281553398
11,63,7.281553398
11.7,63,7.281553398
11.1,61,7.281553398
10.8,63,7.281553398
10.8,64,7.281553398
11.4,64,7.281553398
11.2,62,7.281553398
11.1,64,7.281553398
11.2,64,7.281553398
11,65,14.5631068
12.2,64,7.281553398
11.7,67,87.37864078
10.9,64,7.281553398
11.8,64,7.281553398
11.4,63,7.281553398
10.3,62,7.281553398
11.3,63,7.281553398
12.1,64,7.281553398
10.4,65,14.5631068
11.8,64,7.281553398
11.1,62,7.281553398
11.4,63,7.281553398
11.4,63,7.281553398
11,62,7.281553398
10.9,61,7.281553398
11.4,66,87.37864078
11.2,62,7.281553398
11.4,64,7.281553398
12,65,14.5631068
10.8,63,7.281553398
10.8,64,7.281553398
10.9,65,14.5631068
11,64,7.281553398
11.5,63,7.281553398
10.7,62,7.281553398
10.9,63,7.281553398
12.1,67,87.37864078
11.3,65,14.5631068
11.8,64,7.281553398
11,61,7.281553398
11.8,64,7.281553398
11.4,64,7.281553398
10.7,62,7.281553398
11.1,62,7.281553398
11.8,64,7.281553398
11.1,63,7.281553398
11.8,65,14.5631068
11,63,7.281553398
11.5,63,7.281553398
10.9,64,7.281553398
11.4,63,7.281553398
11.6,61,7.281553398
11.3,64,7.281553398
11.2,65,14.5631068
10.7,64,7.281553398
11,63,7.281553398
12.4,69,174.7572816
11.2,62,7.281553398
11.6,65,14.5631068
12.2,71,174.7572816
12,65,14.5631068
11,63,7.281553398
11.1,65,14.5631068
10.8,63,7.281553398
11.4,64,7.281553398
12.3,65,14.5631068
11.3,64,7.281553398
11.3,63,7.281553398
11.3,62,7.281553398
11.7,64,7.281553398
11.1,63,7.281553398
11,67,87.37864078
11.5,64,7.281553398
11.9,62,7.281553398
10.7,64,7.281553398
10,62,7.281553398
11.7,64,7.281553398
10.2,60,7.281553398
11.2,64,7.281553398
11.4,64,7.281553398
11.5,64,7.281553398
11.2,65,14.5631068
11,63,7.281553398
11.3,63,7.281553398
10.9,63,7.281553398
10.9,63,7.281553398
11,63,7.281553398
11.6,65,14.5631068
11.7,64,7.281553398
11.5,65,14.5631068
11.4,63,7.281553398
11.2,64,7.281553398
10.3,59,7.281553398
11.1,64,7.281553398
10.4,65,14.5631068
11.2,63,7.281553398
10.9,62,7.281553398
11.9,65,14.5631068
10.3,58,7.281553398
11,61,7.281553398
12.2,63,7.281553398
11.1,64,7.281553398
12.3,65,14.5631068
11.6,64,7.281553398
11.8,64,7.281553398
10.7,59,7.281553398
11.7,62,7.281553398
11.9,65,14.5631068
11.7,64,7.281553398
11.5,64,7.281553398
10.6,63,7.281553398
11.7,66,87.37864078
11.5,65,14.5631068
11.1,65,14.5631068
10,62,7.281553398
11.2,62,7.281553398
11.7,62,7.281553398
11.7,67,87.37864078
12,66,87.37864078
11.3,63,7.281553398
10.7,62,7.281553398
10.7,63,7.281553398
11.5,65,14.5631068
10.3,63,7.281553398
11.5,62,7.281553398
11.1,65,14.5631068
11.1,62,7.281553398
11.7,65,14.5631068
10.4,63,7.281553398
11.1,64,7.281553398
12,66,87.37864078
11.1,59,7.281553398
10.9,61,7.281553398
11.8,65,14.5631068
11.3,65,14.5631068
11.3,65,14.5631068
10.6,59,7.281553398
11.8,64,7.281553398
11,64,7.281553398
10.6,63,7.281553398
11.4,64,7.281553398
10.9,63,7.281553398
11.2,63,7.281553398
10.6,62,7.281553398
11.1,63,7.281553398
11,59,7.281553398
11.3,66,87.37864078
10.5,62,7.281553398
10.3,60,7.281553398
10.8,60,7.281553398
11.7,63,7.281553398
10.6,61,7.281553398
11.2,64,7.281553398
11,64,7.281553398
12,63,7.281553398
11.1,67,87.37864078
11.4,64,7.281553398
11.9,63,7.281553398
11,63,7.281553398
11.2,63,7.281553398
11.5,65,14.5631068
12.4,67,87.37864078
11.6,65,14.5631068
