unitid,instnm,city,stabbr,highdeg,control,region,locale,ccbasic,ccsizset,hbcu,openadmp,adm_rate,sat_avg,ugds,ugds_men,ugds_women,ugds_white,ugds_black,ugds_hisp,ugds_asian,ugds_other,npt4,tuitionfee_in,tuitionfee_out,avgfacsal,pftfac,c150_4,grads,mathfac,psychfac,biolfac,psii,wt
106412,University of Arkansas at Pine Bluff,Pine Bluff,AR,4,1,5,13,22,11,1,2,0.4435,978,2467,0.4131,0.5869,0.0345,0.9092,0.0186,0.0028,0.0349,10684,8038,14398,5894,0.8069,0.2883,106,15,2,11,0.004336401,23.06059992
143084,Augustana College,Rock Island,IL,3,2,3,13,21,11,0,2,0.6369,-99,2529,0.4338,0.5662,0.6975,0.0411,0.1008,0.0233,0.1373,23310,42135,42135,7741,0.7574,0.7424,-99,10,15,15,0.004445382,22.49525504
174491,University of Northwestern-St Paul,Saint Paul,MN,4,2,4,21,19,11,0,2,0.9262,1187,1818,0.4092,0.5908,0.7992,0.0358,0.0589,0.038,0.0681,22901,31540,31540,6455,1,0.6305,180,15,12,14,0.003195613,31.29290429
204194,Mount Vernon Nazarene University,Mount Vernon,OH,4,2,3,32,19,11,0,2,0.7575,1130,1671,0.3651,0.6349,0.8618,0.0305,0.0263,0.0048,0.0766,20503,29244,29244,6242,0.9167,0.5882,405,4,4,5,0.002937222,34.04578097
206589,The College of Wooster,Wooster,OH,3,2,3,32,21,11,0,2,0.5418,1275,2001,0.4593,0.5407,0.6342,0.096,0.054,0.049,0.1668,24806,50250,50250,8257,0.8361,0.7461,-99,8,12,15,0.003517283,28.43103448
211273,Bryn Mawr College,Bryn Mawr,PA,4,2,2,21,21,11,0,2,0.3408,-99,1353,0.0007,0.9993,0.3873,0.0576,0.099,0.1293,0.3268,29334,52360,52360,10936,0.8462,0.8685,330,11,9,10,0.002378253,42.04767184
214157,Moravian College,Bethlehem,PA,4,2,2,13,21,11,0,2,0.7282,1129,2061,0.3911,0.6089,0.7181,0.0315,0.1111,0.0189,0.1204,29680,43636,43636,8017,1,0.6773,375,9,7,10,0.003622749,27.60334789
216694,Waynesburg University,Waynesburg,PA,4,2,2,32,19,11,0,2,0.9145,1080,1322,0.4274,0.5726,0.8684,0.0408,0.0227,0.0091,0.059,18931,24820,24820,6976,0.4019,0.6629,344,5,2,5,0.002323762,43.03366112
226587,McMurry University,Abilene,TX,3,2,6,12,22,11,0,2,0.4124,1057,1080,0.4954,0.5046,0.4861,0.1287,0.263,0.012,0.1102,21562,27419,27419,6604,0.9885,0.33,4,8,5,7,0.001898384,52.67638889
238476,Carthage College,Kenosha,WI,4,2,3,22,22,11,0,2,0.6783,1173,2751,0.4409,0.5591,0.6845,0.0589,0.1349,0.0218,0.0999,27764,43550,43550,8460,0.528,0.6448,109,8,9,16,0.004835605,20.67993457
