clutch,csize,length,breadth,volume,tmt
1,13,44.3,31.1,3.7957569,1
1,13,45.9,32.7,3.9328497,1
2,13,49.2,34.4,4.2156036,1
2,13,48.7,32.7,4.1727621,1
3,6,51.05,34.25,0.9317646,0
3,6,49.35,34.4,0.9007362,0
4,11,49.2,31.55,3.0182724,1
4,11,48.55,33.1,2.97839685,1
5,10,49.4,34.55,2.50458,1
5,10,49.05,34.95,2.486835,1
6,13,46.35,33.1,3.97140705,1
6,13,46.65,33.3,3.99711195,1
7,9,48.15,33.95,1.97737605,1
7,9,45.7,32.65,1.8767619,1
8,11,47.45,34.1,2.91091515,1
8,11,49.1,33.8,3.0121377,1
9,12,47.5,33.5,3.46788,1
9,12,47.3,33.3,3.4532784,1
10,11,50,33.45,3.06735,1
10,11,46.55,31.6,2.85570285,1
11,12,48.5,33.05,3.540888,0
11,12,47.35,34,3.4569288,0
12,11,48.75,34.5,2.99066625,1
12,11,49.05,34.35,3.00907035,1
13,12,49.95,33.7,3.6467496,1
13,12,47.75,33.05,3.486132,1
14,11,49.3,35.3,3.0244071,1
14,11,48.05,35.8,2.94772335,1
15,11,49,33.55,3.006003,1
15,11,48.25,33.3,2.95999275,1
16,10,48.1,34.1,2.43867,0
16,10,46.85,33.15,2.375295,0
17,9,48.55,35.35,1.99380285,0
17,9,49.35,34.85,2.02665645,0
18,10,48.15,33.6,2.441205,0
18,10,48,32.85,2.4336,0
19,11,47.8,33.45,2.9323866,1
19,11,47.6,33.5,2.9201172,1
20,11,50.4,32.95,3.0918888,1
20,11,45.7,33.25,2.8035579,1
21,10,50.7,36,2.57049,1
21,10,49.4,34.7,2.50458,1
22,13,50.9,34,4.3612647,1
22,13,48.75,34.55,4.17704625,1
23,12,52.15,35.7,3.8073672,0
23,12,51,35.75,3.723408,0
24,10,50,33,2.535,0
24,10,51.15,33.2,2.593305,0
25,9,47.45,32.5,1.94862915,1
25,9,48.1,32.9,1.9753227,1
26,12,49.3,33.8,3.5992944,1
26,12,46.1,31.8,3.3656688,1
27,10,50.55,35.5,2.562885,1
27,10,51,35.7,2.5857,1
28,9,46.55,33.95,1.91166885,1
28,9,48.7,33.05,1.9999629,1
29,12,47.55,34.15,3.4715304,1
29,12,45.8,32.7,3.3437664,1
30,11,48.35,32.2,2.96612745,0
30,11,48,32.25,2.944656,0
31,10,49.35,33.85,2.502045,0
31,10,49.45,33,2.507115,0
