year,crimetype,violent,arrest,domestic,commarea,location
2001,mvtheft,0,1,0,,STREET
2002,theft,0,0,0,,STREET
2005,aggasslt,1,0,0,23,STREET
2008,threat,0,0,0,24,RESIDENCE
2006,simpleasslt,1,0,0,31,STREET
2002,aggasslt,1,1,0,66,STREET
2002,robbery,1,0,0,28,STREET
2003,theft,0,0,0,32,POLICE FACILITY/VEH PARKING LOT
2005,idtheft,0,0,0,31,RESIDENCE
2009,narcotics,0,1,0,23,VEHICLE NON-COMMERCIAL
2009,mvtheft,0,0,0,27,GAS STATION
2009,threat,0,0,1,29,APARTMENT
2016,theft,0,0,0,76,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2015,fraud,0,0,0,61,APARTMENT
2002,theft,0,0,0,24,VEHICLE NON-COMMERCIAL
2015,narcotics,0,1,0,76,AIRPORT/AIRCRAFT
2004,fraud,0,0,0,61,RESIDENCE
2002,theft,0,0,0,28,STREET
2006,simpleasslt,1,1,1,76,RESIDENCE
2006,idtheft,0,0,0,15,RESIDENCE
2009,theft,0,0,0,26,ABANDONED BUILDING
2009,fraud,0,0,0,25,OTHER
2002,simpleasslt,1,1,0,,HOSPITAL BUILDING/GROUNDS
2003,trespass,0,1,0,7,COMMERCIAL / BUSINESS OFFICE
2015,fraud,0,0,0,44,RESIDENCE
2005,narcotics,0,1,0,42,STREET
2008,vandalism,0,0,1,43,APARTMENT
2008,narcotics,0,0,0,28,STREET
2008,theft,0,0,0,75,STREET
2005,idtheft,0,0,0,4,COMMERCIAL / BUSINESS OFFICE
2008,mvtheft,0,0,0,25,STREET
2015,narcotics,0,1,0,23,STREET
2008,theft,0,0,0,17,RESIDENCE
2015,sexualasslt,1,0,1,65,RESIDENCE
2015,fraud,0,0,0,43,ATM (AUTOMATIC TELLER MACHINE)
2009,idtheft,0,0,0,73,RESIDENCE
2009,vandalism,0,0,0,20,SMALL RETAIL STORE
2009,narcotics,0,1,0,66,STREET
2009,other,0,1,0,53,RESIDENCE
2009,fraud,0,0,0,32,COMMERCIAL / BUSINESS OFFICE
2009,idtheft,0,0,0,8,VEHICLE-COMMERCIAL
2002,burglary,0,1,0,,PARKING LOT/GARAGE(NON.RESID.)
2002,simpleasslt,1,0,1,,CHA APARTMENT
2002,aggasslt,1,1,0,,STREET
2002,vandalism,0,0,0,,RESIDENCE
2005,sexualasslt,1,0,1,30,RESIDENCE
2017,vandalism,0,0,0,22,RESIDENTIAL YARD (FRONT/BACK)
2018,theft,0,0,0,8,CTA TRAIN
2018,fraud,0,0,0,19,
2018,fraud,0,0,0,48,RESIDENCE
2019,theft,0,1,0,28,STREET
2019,vandalism,0,0,0,14,RESIDENCE
2019,simpleasslt,1,0,1,71,SIDEWALK
2019,other,0,1,0,22,STREET
2019,burglary,0,0,0,75,RESIDENCE-GARAGE
2019,simpleasslt,1,0,0,25,RESIDENTIAL YARD (FRONT/BACK)
2019,simpleasslt,1,0,1,48,STREET
2019,theft,0,0,0,76,STREET
2019,narcotics,0,1,0,29,SIDEWALK
2019,fraud,0,0,0,25,RESIDENCE
2019,trespass,0,0,0,6,RESIDENTIAL YARD (FRONT/BACK)
2019,theft,0,0,0,4,STREET
2019,robbery,1,0,0,5,STREET
2019,narcotics,0,1,0,26,SIDEWALK
2019,theft,0,0,0,6,CTA TRAIN
2019,vandalism,0,0,0,26,RESIDENCE
2019,threat,0,1,0,32,OTHER
2019,narcotics,0,1,0,26,SIDEWALK
2019,simpleasslt,1,0,1,20,OTHER
2019,vandalism,0,0,0,69,RESTAURANT
