id,district,birth_rate,death_rate,marriage_rate,agricultural_pop,urban_population,income,altitude,pop_density,natural_growth,population,area,in_GG_sample
1,Adria,44.91,21.64,9.15,55.1,49.9,2822,4,124,23.28,99968,805.38,1
2,Comacchio,42.86,20.44,7.57,52,55.6,3674,1,81,22.42,57841,713.4,0
3,Asiago,42.55,16.73,14.89,37.1,61.8,3821,999,67,25.82,30361,452.11,0
4,Treviglio,42.45,24.63,11.69,60.2,69.9,2920,126,278,17.83,140248,504.9,0
5,Avezzano,41.87,20.52,11.46,70.8,92.4,2252,697,62,21.35,120448,1938.64,0
6,Chioggia,41.66,22.35,9.02,51.2,64.1,3390,2,169,19.31,67885,402.7,0
7,Bergamo,41.13,24.69,11.57,41.9,75.2,3988,366,233,16.44,331075,1422.56,0
8,Chiari,41.06,22.55,12.16,56.8,72.3,3427,148,241,18.52,102716,426.05,0
9,Melfi,40.85,25.42,11.33,66.3,92.7,1753,531,65,15.43,102813,1572.32,0
10,Casoria,40.66,21.12,10.49,35.3,95.5,3494,70,800,19.54,192794,241.1,0
11,Frosinone,39.72,18.74,11.35,70.4,51.7,2000,291,116,20.98,211281,1822.67,0
12,Santangelo_dei_Lombardi,39.43,21.29,11.69,69.5,71.8,1623,870,89,18.14,118523,1338.13,0
13,Foggia,39.14,23.44,10.12,48.4,93.6,3064,74,-75,15.7,234254,3110.92,0
14,Sansevero,39.02,21.68,10.53,66.8,96.9,2741,87,61,17.34,17166,2815.18,0
15,Cotrone,39,21.99,10.93,63.8,90,2659,43,48,17.01,82544,1727.67,0
16,Gallipoli,38.8,20.9,10.81,66.3,96,2131,14,161,17.9,207562,1292.07,0
17,Paola,38.6,18.08,11.12,69,59.1,2225,94,104,20.52,105979,1019.77,0
18,Feltre,38.55,19.04,12.75,50.4,61.3,6121,325,121,19.5,77626,639.72,0
19,Potenza,38.44,21.69,11.47,69.3,89,2409,823,51,16.75,151436,2989.37,1
20,Terranova_di_Sicilia,38.41,23.97,10.21,62.7,94.3,3035,45,84,14.44,87156,1036.37,0
21,Nicastro,38.26,19.57,10.88,68.9,81.8,2125,200,136,18.67,120099,884.61,0
22,Clusone,38.24,23.24,10.38,39.9,81.7,2396,648,98,15,84363,861.37,0
23,Brindisi,38.18,21.31,9.91,60.2,89.1,2423,11,111,16.86,188039,1701.11,0
24,Matera,37.79,23.28,10.65,67.6,96.7,2424,401,36,14.5,108999,3019.91,0
25,Belluno,37.55,17.63,11.68,30.7,73.4,6264,389,74,19.92,111200,1492.96,0
26,Ariano_di_Puglia,37.38,19.54,10.99,71,66.2,1716,817,114,17.84,100604,879.87,0
27,Pavullo_nel_Frignano,37.21,16.83,11.57,70.7,29.1,2028,682,73,20.38,76808,1051.2,1
