"Journal","NumAuthors","RandomSel","RandomAssn","ConfInt","HypTest","Asterisks"
AJPH,4,No,No,Yes,No,No
AJPH,9,No,No,Yes,Yes,No
AJPH,6,No,No,Yes,Yes,No
AJPH,5,No,No,Yes,Yes,No
AJPH,7,Yes,No,No,Yes,No
AJPH,4,No,No,Yes,Yes,No
AJPH,3,Yes,No,No,Yes,Yes
AJPH,4,Yes,No,Yes,Yes,Yes
AJPH,2,Yes,No,Yes,Yes,No
AJPH,4,Yes,No,Yes,Yes,No
AJPH,5,Yes,No,No,Yes,Yes
AJPH,3,No,No,No,Yes,No
AJPH,4,No,Yes,Yes,Yes,No
AJPH,3,No,No,Yes,No,No
AJPH,8,No,No,Yes,Yes,No
AJPH,4,Yes,No,Yes,Yes,No
AJPH,7,No,No,Yes,Yes,Yes
AJPH,5,No,No,Yes,Yes,Yes
AJPH,2,Yes,No,Yes,Yes,No
AJPH,2,No,No,Yes,No,No
AJPH,3,Yes,No,Yes,Yes,Yes
AJPH,6,No,No,Yes,Yes,No
AJPH,7,No,No,Yes,Yes,No
AJPH,7,No,Yes,Yes,Yes,No
AJPH,6,No,No,Yes,Yes,No
AJPH,5,No,No,Yes,Yes,Yes
AJPH,5,No,No,Yes,Yes,Yes
AJPH,6,Yes,No,Yes,Yes,Yes
AJPH,2,Yes,No,Yes,Yes,Yes
AJPH,3,Yes,No,No,Yes,No
AJPH,5,No,No,No,Yes,No
AJPH,6,No,Yes,No,Yes,No
AJPH,7,No,No,Yes,Yes,No
AJPH,2,Yes,No,Yes,Yes,Yes
AJPH,4,No,No,Yes,Yes,Yes
AJPH,2,No,No,No,Yes,Yes
AJPH,6,No,No,No,No,No
AJPH,4,Yes,No,Yes,Yes,No
AJPH,6,Yes,No,Yes,No,No
AJPH,8,No,Yes,Yes,Yes,No
AJPH,3,No,No,No,Yes,Yes
AJPH,8,No,No,Yes,Yes,No
AJPH,3,Yes,Yes,Yes,Yes,Yes
AJPH,1,No,No,Yes,Yes,Yes
AJPH,2,No,No,Yes,Yes,No
AJPH,3,No,No,No,Yes,No
AJPH,4,No,No,Yes,Yes,No
AJPH,9,No,No,Yes,Yes,Yes
AJPH,2,No,No,No,Yes,No
AJPH,4,Yes,No,Yes,Yes,No
AJPH,5,No,No,Yes,Yes,No
AJPH,3,No,No,Yes,Yes,No
AJPH,3,No,No,Yes,Yes,No
AJPH,4,No,No,Yes,Yes,Yes
AJPH,8,No,No,Yes,Yes,Yes
AJPH,8,No,No,Yes,No,No
AJPH,3,No,No,No,No,No
AJPH,7,No,No,Yes,Yes,No
AJPH,7,No,No,No,No,No
AJPH,10,Yes,No,No,Yes,No
AJPH,5,Yes,No,Yes,Yes,No
AJPH,5,Yes,No,Yes,Yes,Yes
AJPH,7,No,No,Yes,Yes,Yes
AJPH,6,No,No,Yes,Yes,Yes
AJPH,8,No,No,Yes,Yes,No
AJPH,3,Yes,No,Yes,Yes,Yes
AJPH,6,No,No,No,No,No
AJPH,2,No,No,Yes,Yes,No
AJPH,5,No,No,Yes,No,No
AJPH,4,Yes,No,Yes,Yes,Yes
AJPH,7,No,No,Yes,Yes,Yes
AJPH,4,No,No,Yes,Yes,Yes
AJPH,2,Yes,No,Yes,Yes,Yes
AJPH,5,No,No,No,No,No
AJPH,2,Yes,No,Yes,Yes,Yes
AJPH,4,No,No,No,No,No
AJPH,6,No,No,No,Yes,Yes
AJPH,7,No,No,Yes,Yes,No
AJPH,3,Yes,No,Yes,Yes,No
AJPH,10,No,No,Yes,Yes,No
AJPH,5,No,No,Yes,Yes,No
AJPH,8,No,No,Yes,Yes,No
AJPH,8,No,No,Yes,Yes,No
AJPH,6,No,No,Yes,No,No
AJPH,5,No,No,Yes,Yes,No
AJPH,4,No,No,No,No,No
AJPH,4,No,No,No,Yes,No
AJPH,2,No,No,Yes,Yes,Yes
AJPH,1,No,No,No,Yes,Yes
AJPH,3,Yes,No,Yes,Yes,Yes
AJPH,4,No,No,Yes,Yes,No
AJPH,2,No,No,Yes,Yes,Yes
AJPH,6,No,No,Yes,Yes,Yes
AJPH,4,Yes,No,Yes,Yes,Yes
AJPH,2,Yes,No,Yes,Yes,Yes
AJPH,6,No,No,Yes,Yes,No
AJPH,3,No,No,Yes,Yes,No
AJPH,10,Yes,Yes,No,Yes,No
AJPH,3,No,No,No,Yes,No
AJPH,13,No,No,Yes,No,No
AJPM,4,Yes,No,Yes,Yes,No
AJPM,9,No,No,No,Yes,No
AJPM,12,No,Yes,No,Yes,No
AJPM,8,No,No,No,Yes,No
AJPM,10,No,No,Yes,Yes,Yes
AJPM,5,No,No,No,No,No
AJPM,10,No,No,No,Yes,No
AJPM,6,No,No,Yes,Yes,No
AJPM,3,Yes,No,No,Yes,Yes
AJPM,6,Yes,No,No,Yes,No
AJPM,4,No,No,Yes,Yes,Yes
AJPM,3,No,No,Yes,Yes,No
AJPM,4,Yes,No,Yes,Yes,No
AJPM,3,No,Yes,No,Yes,Yes
AJPM,6,Yes,Yes,Yes,Yes,No
AJPM,5,Yes,No,Yes,Yes,No
AJPM,4,Yes,No,Yes,No,No
AJPM,9,No,Yes,No,Yes,No
AJPM,5,No,No,No,Yes,No
AJPM,4,No,No,No,No,No
AJPM,11,No,Yes,Yes,Yes,No
AJPM,4,No,No,Yes,Yes,No
AJPM,5,Yes,No,Yes,No,No
AJPM,6,No,No,No,Yes,Yes
AJPM,2,Yes,No,No,Yes,Yes
AJPM,11,Yes,No,Yes,Yes,Yes
AJPM,1,No,No,No,Yes,Yes
AJPM,4,No,No,Yes,Yes,No
AJPM,6,No,No,No,No,No
AJPM,3,Yes,No,No,Yes,No
AJPM,3,Yes,No,No,Yes,No
AJPM,4,Yes,No,Yes,Yes,No
AJPM,6,Yes,No,No,Yes,Yes
AJPM,6,No,No,Yes,No,No
AJPM,5,No,No,No,Yes,No
AJPM,7,No,No,Yes,No,No
AJPM,4,No,No,No,Yes,Yes
AJPM,4,No,No,Yes,Yes,No
PM,4,No,No,Yes,Yes,No
PM,5,No,No,Yes,Yes,Yes
PM,4,No,No,Yes,Yes,No
PM,5,Yes,No,No,Yes,No
PM,10,No,No,Yes,Yes,No
PM,1,Yes,No,Yes,Yes,Yes
PM,8,No,Yes,Yes,Yes,No
PM,4,No,No,Yes,Yes,No
PM,5,No,No,Yes,Yes,No
PM,3,Yes,No,Yes,Yes,No
PM,4,No,No,Yes,Yes,No
PM,5,Yes,No,Yes,Yes,No
PM,8,Yes,No,Yes,No,No
PM,23,No,No,Yes,Yes,No
PM,2,No,No,Yes,Yes,No
PM,8,No,No,Yes,Yes,No
PM,4,No,No,Yes,Yes,No
PM,6,No,No,Yes,Yes,No
PM,6,No,No,No,Yes,Yes
PM,4,No,No,Yes,Yes,No
PM,3,No,No,Yes,Yes,No
PM,8,No,No,Yes,Yes,No
PM,7,No,No,No,Yes,No
PM,5,No,No,Yes,Yes,No
PM,6,No,No,Yes,Yes,No
PM,4,Yes,No,No,No,No
PM,4,No,No,Yes,Yes,Yes
PM,4,No,No,Yes,Yes,No
PM,6,No,No,Yes,No,No
PM,6,No,No,Yes,Yes,No
PM,10,No,Yes,No,No,No
PM,5,Yes,Yes,Yes,Yes,Yes
PM,2,No,No,Yes,No,No
PM,3,Yes,No,Yes,Yes,No
PM,3,Yes,No,Yes,Yes,Yes
PM,14,Yes,Yes,Yes,Yes,No
PM,8,No,No,No,Yes,No
PM,9,No,No,Yes,Yes,No
PM,4,Yes,No,No,Yes,No
PM,9,No,Yes,No,Yes,Yes
PM,10,Yes,Yes,Yes,Yes,No
PM,2,No,No,No,Yes,Yes
PM,5,No,No,Yes,Yes,No
PM,14,No,No,Yes,Yes,No
PM,3,Yes,No,Yes,Yes,No
PM,3,No,No,Yes,No,No
PM,4,No,No,Yes,Yes,No
PM,8,No,No,Yes,Yes,Yes
PM,5,No,No,Yes,Yes,No
PM,7,No,No,No,No,No
PM,9,No,Yes,Yes,Yes,No
PM,6,Yes,No,Yes,No,No
PM,12,No,Yes,Yes,Yes,No
PM,8,No,No,Yes,Yes,No
PM,6,Yes,No,Yes,Yes,No
PM,3,No,No,Yes,Yes,Yes
PM,11,No,Yes,Yes,Yes,Yes
PM,4,No,No,Yes,Yes,Yes
PM,4,No,Yes,No,Yes,No
PM,15,No,No,No,Yes,No
