height,frequency,epmf,ecdf
136,1,0.0005,0.0005
140,1,0.0005,0.001
141,2,0.001,0.002
142,1,0.0005,0.0025
143,6,0.003,0.0055
144,3,0.0015,0.007
145,4,0.002,0.009
146,3,0.0015,0.0105
147,14,0.007,0.0175
148,11,0.0055,0.023
149,13,0.0065,0.0295
150,20,0.01,0.0395
151,15,0.0075,0.047
152,18,0.009,0.056
153,28,0.014,0.07
154,38,0.019,0.089
155,38,0.019,0.108
156,57,0.0285,0.1365
157,53,0.0265,0.163
158,49,0.0245,0.1875
159,55,0.0275,0.215
160,77,0.0385,0.2535
161,72,0.036,0.2895
162,66,0.033,0.3225
163,62,0.031,0.3535
164,61,0.0305,0.384
165,60,0.03,0.414
166,75,0.0375,0.4515
167,79,0.0395,0.491
168,62,0.031,0.522
169,79,0.0395,0.5615
170,72,0.036,0.5975
171,56,0.028,0.6255
172,57,0.0285,0.654
173,45,0.0225,0.6765
174,52,0.026,0.7025
175,57,0.0285,0.731
176,49,0.0245,0.7555
177,54,0.027,0.7825
178,57,0.0285,0.811
179,40,0.02,0.831
180,35,0.0175,0.8485
181,43,0.0215,0.87
182,29,0.0145,0.8845
183,26,0.013,0.8975
184,29,0.0145,0.912
185,23,0.0115,0.9235
186,21,0.0105,0.934
187,19,0.0095,0.9435
188,17,0.0085,0.952
189,15,0.0075,0.9595
190,10,0.005,0.9645
191,14,0.007,0.9715
192,10,0.005,0.9765
193,9,0.0045,0.981
194,7,0.0035,0.9845
195,2,0.001,0.9855
196,7,0.0035,0.989
197,8,0.004,0.993
198,4,0.002,0.995
199,2,0.001,0.996
200,4,0.002,0.998
201,1,0.0005,0.9985
204,1,0.0005,0.999
206,2,0.001,1
