rn,height,gender
257,159,F
1016,174,M
1264,186,M
817,158,F
374,178,F
1063,177,M
692,168,F
528,159,F
1104,170,M
1933,179,M
1419,187,M
1630,168,M
870,164,F
1069,177,M
319,153,F
903,172,F
1680,174,M
146,163,F
1260,181,M
1423,179,M
1886,185,M
882,160,F
7,144,F
580,157,F
509,170,F
1156,178,M
118,160,F
1769,171,M
1670,186,M
977,179,F
85,175,F
1578,159,M
1238,172,M
434,151,F
687,167,F
1757,173,M
772,170,F
1678,184,M
198,178,F
696,181,F
132,160,F
1047,172,M
1186,171,M
1659,163,M
1391,163,M
996,154,F
74,171,F
1807,158,M
613,150,F
420,157,F
1959,179,M
1945,178,M
320,162,F
1176,178,M
111,159,F
1097,171,M
1373,174,M
1271,172,M
1514,183,M
100,157,F
1109,173,M
1777,176,M
1269,180,M
96,164,F
1875,175,M
387,167,F
1067,178,M
1750,169,M
88,159,F
986,154,F
263,147,F
163,147,F
1142,166,M
840,167,F
306,162,F
370,163,F
739,150,F
379,166,F
962,156,F
1185,197,M
356,147,F
1166,160,M
1988,168,M
1795,184,M
989,172,F
1744,167,M
1579,178,M
1080,180,M
103,169,F
273,151,F
1417,171,M
352,168,F
64,165,F
653,157,F
1516,168,M
1532,161,M
582,162,F
679,154,F
1077,180,M
1210,179,M
1524,191,M
1220,186,M
1349,171,M
72,161,F
538,165,F
1411,168,M
1491,199,M
1461,176,M
941,149,F
797,174,F
1219,175,M
406,150,F
1582,169,M
568,162,F
167,169,F
872,175,F
1040,195,M
934,150,F
1926,184,M
911,157,F
1847,163,M
1464,186,M
988,167,F
495,156,F
1989,182,M
926,176,F
1277,163,M
1529,172,M
1150,174,M
1405,179,M
1505,176,M
1561,173,M
1234,189,M
1247,156,M
409,158,F
260,154,F
295,169,F
1189,175,M
98,153,F
775,170,F
1431,193,M
1193,170,M
1383,187,M
1592,184,M
1424,185,M
1144,177,M
1883,170,M
1857,181,M
60,154,F
99,171,F
1459,172,M
80,160,F
288,174,F
1842,166,M
752,149,F
823,155,F
1317,184,M
825,167,F
1845,173,M
11,171,F
304,154,F
821,160,F
155,163,F
1456,169,M
1999,171,M
770,160,F
1775,189,M
785,158,F
183,169,F
1250,174,M
885,152,F
209,166,F
887,169,F
1685,171,M
1825,172,M
1610,175,M
1619,171,M
1965,181,M
897,161,F
1134,154,M
453,160,F
1527,186,M
640,161,F
313,163,F
1117,164,M
553,157,F
1030,175,M
630,159,F
1295,196,M
463,170,F
1198,165,M
1939,165,M
252,160,F
2000,183,M
400,158,F
1255,167,M
435,168,F
569,160,F
1046,179,M
1191,178,M
