region,gender,age,popsize,sampsize
East,female,16-24,121722,14
East,female,25-34,130126,20
East,female,35-44,142854,20
East,female,45-54,122287,37
East,female,55-64,87680,50
East,female,65+,128319,89
East,male,16-24,149127,17
East,male,25-34,137931,10
East,male,35-44,137742,18
East,male,45-54,114765,36
East,male,55-64,78416,41
East,male,65+,88217,55
Central,female,16-24,247160,17
Central,female,25-34,320459,15
Central,female,35-44,340072,26
Central,female,45-54,279896,44
Central,female,55-64,176716,43
Central,female,65+,267590,78
Central,male,16-24,254498,15
Central,male,25-34,328808,22
Central,male,35-44,335301,27
Central,male,45-54,265559,31
Central,male,55-64,161317,34
Central,male,65+,175223,52
West,female,16-24,116622,10
West,female,25-34,146165,26
West,female,35-44,166893,30
West,female,45-54,154955,40
West,female,55-64,114856,34
West,female,65+,184128,90
West,male,16-24,123608,12
West,male,25-34,149926,17
West,male,35-44,164258,18
West,male,45-54,147688,34
West,male,55-64,104727,37
West,male,65+,125571,53
