stratum,y
1,35
1,41
1,35
1,30
1,35
1,26
1,24
1,30
1,31
1,40
1,35
1,37
1,24
1,31
1,28
1,31
1,35
1,36
1,31
1,26
1,43
1,22
1,22
1,33
1,34
1,28
1,28
1,25
1,22
1,25
1,24
1,40
1,26
1,34
1,31
1,31
1,27
1,41
1,53
1,30
1,39
1,34
1,35
1,32
1,41
1,28
1,19
1,42
1,23
1,23
1,32
1,32
1,32
1,38
1,34
1,25
1,39
1,25
1,30
1,32
1,26
1,29
1,28
1,27
1,38
1,29
1,33
1,28
1,29
1,27
1,31
1,51
1,33
1,24
1,25
1,26
1,35
1,33
1,30
1,28
1,30
1,29
1,32
1,27
1,32
1,32
1,28
1,33
1,29
1,33
1,29
1,28
1,36
1,31
1,33
1,39
1,23
1,30
1,38
1,34
1,27
1,33
1,40
1,37
1,34
1,21
1,23
1,22
1,21
1,41
1,18
1,25
1,28
1,26
1,44
1,30
1,22
1,27
1,32
1,25
1,30
1,29
1,27
1,36
1,30
1,25
1,32
1,31
1,31
1,27
1,30
1,29
1,31
1,37
1,31
1,44
1,27
1,40
1,47
1,34
1,26
1,30
1,23
1,38
1,35
1,30
1,35
1,40
1,25
1,25
1,31
1,30
1,33
1,30
1,24
1,40
1,32
1,27
1,37
1,29
1,30
1,26
1,28
1,37
1,33
1,20
1,35
1,29
1,39
1,29
1,30
1,23
1,24
1,33
1,36
1,30
1,30
1,35
1,37
1,33
1,44
1,28
1,21
1,20
1,28
1,29
1,27
1,27
1,41
1,34
1,33
1,25
1,35
1,23
1,27
1,25
1,28
1,25
1,28
1,32
2,17
2,13
2,17
2,9
2,15
2,17
2,11
2,9
2,14
2,14
2,12
2,10
2,17
2,15
2,14
2,21
2,11
2,11
2,14
2,12
2,16
2,15
2,9
2,15
2,12
2,13
2,10
2,13
2,13
2,15
2,11
2,16
2,9
2,12
2,8
2,15
2,15
2,16
2,15
2,19
2,15
2,13
2,14
2,13
2,14
2,15
2,14
2,17
2,15
2,17
2,11
2,15
2,10
2,20
2,16
2,11
2,8
2,14
2,15
2,12
2,16
2,13
2,12
2,15
2,11
2,15
2,15
2,6
2,13
2,14
2,14
2,10
2,14
2,14
2,12
2,15
2,14
2,13
2,11
2,18
2,10
2,13
2,14
2,17
2,11
2,14
2,12
2,19
2,12
2,15
2,10
2,12
2,7
2,13
2,18
2,11
2,14
2,12
2,18
2,11
2,20
2,17
2,16
2,11
2,10
2,14
2,14
2,14
2,16
2,17
2,20
2,15
2,14
2,14
2,10
2,11
2,18
2,11
2,11
2,12
2,19
2,12
2,13
2,15
2,11
2,13
2,13
2,16
2,13
2,10
2,9
2,18
2,17
2,15
2,22
2,11
2,8
2,9
2,13
2,15
2,12
2,16
2,16
2,9
2,11
2,7
2,19
2,11
2,13
2,10
2,13
2,15
2,11
2,12
2,14
2,12
2,8
2,16
2,15
2,14
2,10
2,16
2,16
2,11
2,16
2,12
2,11
2,18
2,17
2,12
2,6
2,16
2,10
2,21
2,14
2,16
2,17
2,17
2,14
2,16
2,17
2,14
2,16
2,11
2,19
2,11
2,14
2,8
2,17
2,17
2,13
2,16
2,14
2,9
2,19
2,13
2,11
2,12
2,13
2,15
2,20
2,12
2,9
2,13
2,15
2,13
2,15
2,14
2,14
2,7
2,9
2,14
2,14
2,10
2,13
2,12
2,19
2,10
2,11
2,11
2,14
2,12
2,9
2,17
2,13
2,12
2,11
2,15
2,11
2,14
2,9
2,17
2,18
2,12
2,14
2,13
2,19
2,14
2,13
2,11
2,10
2,14
2,13
2,13
2,10
2,18
2,10
2,12
2,13
2,14
2,11
2,16
2,11
2,15
2,10
2,10
2,13
2,13
2,11
2,10
2,16
2,11
2,12
2,9
2,9
2,11
2,16
2,10
2,16
2,12
2,14
2,12
2,16
2,16
2,15
2,13
2,13
2,10
2,16
2,14
2,18
2,16
2,12
2,16
2,16
2,16
2,13
2,11
2,13
2,14
2,10
2,18
2,13
2,11
2,13
2,14
2,9
2,12
2,9
2,9
2,18
2,12
2,12
2,13
2,20
2,13
2,15
2,15
2,14
2,11
2,17
2,19
2,18
2,14
2,14
2,15
2,15
2,14
2,14
2,13
2,12
2,14
2,10
2,12
2,14
2,14
2,9
2,16
2,14
2,10
2,12
2,9
2,9
2,12
2,16
2,11
2,11
2,13
2,16
2,14
2,11
2,15
2,16
2,12
2,14
2,15
2,17
2,11
2,13
2,16
2,20
2,9
2,13
2,13
2,13
2,12
2,10
2,13
2,9
2,13
2,10
2,12
2,13
2,12
2,14
2,12
2,11
2,10
2,10
2,12
2,13
2,15
2,14
2,12
2,15
2,8
2,13
2,14
2,16
2,9
2,11
2,7
2,14
2,14
2,11
2,7
2,16
2,19
2,24
2,15
2,14
2,12
2,13
2,8
2,16
2,11
2,11
2,11
2,13
2,11
2,13
2,18
2,15
2,6
2,9
2,15
2,10
2,18
2,15
2,18
2,18
2,11
2,14
2,12
2,12
2,14
2,12
2,12
2,15
2,12
2,10
2,14
2,16
2,11
2,8
2,13
2,11
2,17
2,17
2,14
2,15
2,10
2,9
2,8
2,11
2,18
2,10
2,12
2,10
2,15
2,18
2,13
2,15
2,10
2,12
2,12
2,15
2,14
2,12
2,10
2,16
2,9
2,7
2,13
2,13
2,11
2,15
2,11
2,12
2,9
2,14
2,15
2,17
2,16
2,13
2,10
2,10
2,11
2,15
2,9
2,8
2,15
2,16
2,12
2,14
2,12
2,20
2,20
2,12
2,12
2,13
2,12
2,14
2,10
2,12
2,10
2,11
2,12
2,14
2,15
2,17
2,19
2,12
2,16
2,12
2,9
2,10
2,21
2,17
2,9
2,13
2,19
2,17
2,16
2,16
2,8
2,16
2,18
2,14
2,15
2,14
2,12
2,11
2,13
2,20
2,12
2,11
2,13
2,14
2,10
2,19
