int,region,sex,race,age,income,education,postwt
5,Northeast,Male,White,78,>$80k,Some College,0.268422977
3,Northeast,Female,White,69,<$40k,No College,0.154733066
2,Northeast,Female,White,47,>$80k,College Grad,0.154733066
2,Northeast,Female,White,76,<$40k,No College,0.154733066
2,Northeast,Male,White,72,$40-$80k,No College,0.268422977
2,South,Female,Hispanic,68,$40-$80k,Grad School,0.508954536
1,South,Male,White,71,$40-$80k,Grad School,0.268422977
3,Northeast,Female,White,45,$40-$80k,No College,0.154733066
1,Northeast,Male,White,32,>$80k,Some College,1.379636378
2,Northeast,Male,White,79,>$80k,College Grad,0.268422977
1,Northeast,Female,White,31,$40-$80k,Some College,1.19171607
2,Northeast,Male,White,50,$40-$80k,No College,0.268422977
2,Northeast,Female,Hispanic,60,$40-$80k,No College,0.508954536
2,Northeast,Male,White,78,<$40k,No College,0.268422977
2,Northeast,Female,White,52,>$80k,Some College,0.154733066
2,South,Female,White,44,>$80k,Grad School,0.154733066
5,South,Female,Black,79,<$40k,No College,0.508954536
5,South,Female,Black,31,$40-$80k,College Grad,1.212827831
2,South,Female,White,67,<$40k,No College,0.154733066
2,South,Female,White,72,<$40k,Some College,0.154733066
3,South,Female,White,48,$40-$80k,College Grad,0.154733066
2,South,Female,White,54,>$80k,Some College,0.154733066
2,South,Female,Black,35,>$80k,Grad School,1.212827831
3,South,Female,White,77,<$40k,Some College,0.154733066
2,South,Female,White,82,<$40k,No College,0.154733066
2,South,Male,Black,83,$40-$80k,No College,0.604890752
1,South,Female,White,48,$40-$80k,Grad School,0.154733066
2,South,Male,White,62,MISSING,Some College,0.268422977
1,South,Female,White,92,<$40k,No College,0.154733066
1,South,Male,White,72,MISSING,College Grad,0.268422977
2,South,Female,White,61,>$80k,Grad School,0.154733066
4,South,Female,White,82,>$80k,Some College,0.154733066
2,West,Female,White,55,>$80k,Some College,0.154733066
3,West,Male,White,84,<$40k,College Grad,0.268422977
1,West,Female,White,71,$40-$80k,Some College,0.154733066
2,West,Male,White,41,$40-$80k,Grad School,1.379636378
3,Northeast,Female,White,77,<$40k,No College,0.154733066
2,Northeast,Female,White,56,$40-$80k,College Grad,0.154733066
3,Northeast,Female,White,66,$40-$80k,No College,0.154733066
2,Northeast,Male,White,63,$40-$80k,No College,0.268422977
3,Northeast,Female,White,77,<$40k,Some College,0.154733066
1,Northeast,Male,White,68,<$40k,Grad School,0.268422977
2,Northeast,Female,White,75,<$40k,Grad School,0.154733066
5,Northeast,Male,White,51,$40-$80k,Some College,0.268422977
3,West,Male,White,58,MISSING,Some College,0.268422977
3,West,Male,White,83,$40-$80k,Some College,0.268422977
3,West,Male,White,48,$40-$80k,Some College,0.268422977
2,West,Female,White,48,>$80k,Grad School,0.154733066
2,West,Male,White,65,>$80k,Some College,0.268422977
5,West,Male,White,89,<$40k,Some College,0.268422977
3,West,Female,White,36,$40-$80k,Some College,1.19171607
2,West,Male,White,66,>$80k,Grad School,0.268422977
3,West,Female,White,65,$40-$80k,College Grad,0.154733066
3,West,Male,White,67,<$40k,No College,0.268422977
2,West,Male,White,60,$40-$80k,Some College,0.268422977
2,West,Female,White,65,$40-$80k,Grad School,0.154733066
2,West,Male,White,73,>$80k,Some College,0.268422977
2,West,Female,White,41,$40-$80k,No College,1.19171607
2,West,Female,White,66,$40-$80k,No College,0.154733066
3,West,Female,White,46,<$40k,No College,0.154733066
2,West,Male,White,69,>$80k,Grad School,0.268422977
1,West,Female,White,69,<$40k,Some College,0.154733066
3,South,Female,Black,68,$40-$80k,No College,0.508954536
4,South,Male,Hispanic,53,<$40k,Some College,0.604890752
1,South,Female,Hispanic,80,<$40k,No College,0.508954536
3,South,Female,Hispanic,78,MISSING,Some College,0.508954536
5,Northeast,Male,White,81,>$80k,Some College,0.268422977
2,Northeast,Male,White,79,<$40k,Grad School,0.268422977
2,South,Male,White,42,>$80k,College Grad,1.379636378
2,South,Female,White,63,<$40k,No College,0.154733066
4,South,Female,Other,31,$40-$80k,Grad School,1.212827831
2,Northeast,Female,White,63,<$40k,Some College,0.154733066
3,Northeast,Male,White,79,<$40k,Grad School,0.268422977
3,Northeast,Male,White,88,MISSING,MISSING,0.268422977
3,Northeast,Male,Black,69,$40-$80k,No College,0.604890752
2,Northeast,Female,White,50,$40-$80k,College Grad,0.154733066
2,Northeast,Female,White,78,$40-$80k,No College,0.154733066
1,Northeast,Male,Black,70,>$80k,Some College,0.604890752
4,Northeast,Female,Black,41,$40-$80k,Some College,1.212827831
2,Northeast,Female,Black,56,$40-$80k,Some College,0.508954536
1,Northeast,Male,White,44,$40-$80k,No College,0.268422977
1,Northeast,Male,White,69,$40-$80k,Grad School,0.268422977
2,Midwest,Male,White,46,<$40k,Some College,0.268422977
