stratum,psu,inctot,age,sex,race,hispanic,marstat,ownershg,yrsusa,school,educrec,labforce,classwk,vetstat
1,1,4105,18,1,2,0,5,0,0,2,7,2,22,1
1,1,7795,20,1,1,0,5,2,0,1,7,2,22,1
1,1,16985,24,1,1,0,1,1,0,2,8,2,28,1
1,1,7045,21,1,1,0,1,2,0,2,7,2,22,1
1,1,2955,23,1,1,0,5,2,0,2,8,2,22,2
1,1,0,17,1,1,0,5,1,0,2,5,1,0,1
1,1,2810,23,1,2,0,1,2,0,1,5,1,0,1
1,1,0,20,1,1,0,5,1,0,2,8,1,0,1
1,1,0,16,1,1,0,5,2,0,2,3,1,0,1
1,1,0,18,1,1,0,5,1,0,1,7,1,0,1
1,1,2865,20,1,2,0,5,2,0,1,5,2,28,1
1,1,0,23,1,1,0,5,1,0,1,7,1,0,1
1,1,24210,24,1,1,0,1,1,0,1,9,2,22,1
1,1,4005,20,1,1,0,5,2,0,1,3,2,22,1
1,1,0,15,1,1,0,5,1,0,2,4,0,0,0
1,1,0,17,1,2,0,5,1,0,2,5,1,28,1
1,1,2920,22,1,1,0,5,1,0,2,8,2,22,1
1,1,8530,24,1,1,0,1,2,0,1,7,2,25,0
1,1,3005,19,1,1,0,5,1,0,1,7,2,22,1
1,1,1425,15,1,1,0,5,1,0,2,3,0,0,0
1,1,8005,20,1,1,0,5,1,0,1,4,1,22,1
1,1,10005,22,1,1,0,5,2,0,1,5,2,13,1
1,1,6005,20,1,1,0,1,1,0,1,3,2,22,1
1,1,6005,21,1,2,0,1,2,0,1,5,2,22,1
1,1,8005,17,1,2,0,5,2,0,2,6,2,22,1
1,1,8845,23,1,1,0,1,1,0,1,7,2,22,1
1,1,0,19,1,2,0,5,1,0,1,7,2,0,1
1,1,9005,19,1,1,0,5,1,0,2,8,2,22,1
1,1,6605,24,1,1,0,5,1,0,1,8,2,22,1
1,1,11990,22,1,1,0,5,2,0,1,9,2,22,1
1,1,14100,16,1,1,0,5,2,0,2,4,2,22,1
1,1,0,17,1,2,0,5,2,0,1,4,1,22,1
1,1,0,16,1,2,0,5,1,0,2,5,1,0,1
1,1,1930,22,1,2,0,5,2,0,2,8,2,22,1
1,1,4405,21,1,2,0,5,2,0,2,8,2,22,1
1,1,10005,20,1,1,0,5,1,0,1,7,2,22,1
1,1,6005,19,1,1,0,5,1,0,1,4,2,22,1
1,1,4510,20,1,2,0,3,2,0,2,7,2,22,1
1,1,7005,19,1,2,0,5,2,0,2,7,2,22,1
1,1,11005,21,1,1,0,5,1,0,1,7,2,22,1
1,1,7910,21,1,1,0,5,2,0,1,7,2,22,1
1,1,3110,21,1,1,0,5,2,0,1,7,2,22,1
1,1,10005,22,1,1,0,1,1,0,1,9,2,28,1
1,1,8005,21,1,1,0,1,2,0,1,7,2,22,1
1,1,7355,23,1,1,0,1,1,0,1,5,2,13,1
1,1,5505,23,1,2,0,5,1,0,1,7,2,22,1
1,1,13005,24,1,1,0,1,2,0,1,9,2,22,1
1,1,5005,21,1,1,0,5,2,0,1,7,2,22,1
1,1,6610,24,1,1,0,1,2,0,2,8,1,25,2
