section,habitat,holts
1,4,6
3,2,0
4,1,8
8,1,0
11,1,0
19,2,0
20,4,13
22,1,6
28,4,5
34,1,1
35,3,16
39,1,5
41,1,1
43,3,8
44,3,10
45,3,14
47,3,7
49,3,3
55,3,5
56,3,18
72,4,1
73,3,6
76,3,21
78,2,12
80,3,24
86,3,15
88,3,13
91,4,5
93,3,19
95,3,16
97,3,20
99,2,2
102,2,0
104,2,3
117,2,1
120,2,1
121,2,1
124,4,2
131,2,2
134,2,0
136,2,0
145,2,2
148,1,0
154,1,0
155,4,0
156,4,0
159,2,3
164,2,1
168,2,2
169,3,1
172,2,2
174,1,0
178,3,14
181,4,1
182,4,5
183,4,5
189,1,2
190,1,1
191,2,1
193,4,1
194,4,5
195,4,4
196,4,0
202,4,3
205,4,11
208,4,9
209,4,10
216,3,0
218,4,0
227,1,1
229,1,2
240,1,1
241,1,0
242,1,0
256,1,4
258,3,21
259,3,29
260,3,12
263,4,0
266,1,1
267,2,2
268,2,0
