year,month,day,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11,hr12,hr13,hr14,hr15,hr16,hr17,hr18,hr19,hr20,hr21,hr22,hr23
2018,1,1,13,15,15,16,18,17,19,17,16,16,17,24,28,29,30,30,29,21,14,19,19,18,17,17
2018,1,2,14,17,18,17,14,15,15,18,18,15,12,19,29,33,32,29,25,13,23,24,22,21,21,22
2018,1,3,23,25,23,22,25,25,22,25,21,15,14,20,23,16,23,29,32,30,30,26,18,16,11,16
2018,1,4,14,12,9,4,2,4,5,4,4,6,13,24,34,35,28,28,24,11,7,7,8,8,9,5
2018,1,5,5,3,5,8,7,6,6,5,7,5,7,11,18,23,27,26,25,27,25,29,31,28,32,34
2018,1,6,30,30,28,26,21,13,24,32,25,24,25,28,33,35,34,33,25,24,28,22,16,10,4,6
2018,1,7,6,8,7,7,9,10,11,12,13,16,19,25,29,28,26,24,23,20,20,15,8,6,8,6
2018,1,8,4,6,7,7,4,3,2,2,5,5,5,3,5,8,6,4,3,3,2,2,6,6,8,11
2018,1,9,11,10,7,6,9,8,13,20,18,11,13,18,24,26,36,38,39,40,40,39,39,39,37,37
2018,1,10,34,33,27,20,22,19,19,14,16,20,28,35,34,33,33,30,24,15,8,6,4,4,4,2
2018,1,11,3,3,3,3,3,3,4,4,5,9,12,24,32,31,33,31,27,22,22,11,8,6,6,4
2018,1,12,4,6,8,8,8,10,9,9,12,15,18,27,37,36,33,30,27,18,16,15,14,12,13,14
2018,1,13,16,16,17,19,21,23,25,22,23,25,24,30,41,43,42,41,35,25,25,24,24,23,23,23
2018,1,14,24,24,25,24,25,25,26,25,25,24,24,31,41,44,40,38,37,30,25,21,21,20,22,23
2018,1,15,25,22,21,21,23,22,16,20,22,15,17,28,34,36,35,35,34,33,29,23,17,10,8,3
2018,1,16,5,9,11,12,13,11,12,12,7,12,14,18,26,27,25,26,24,24,23,17,15,12,11,10
2018,1,17,10,8,7,6,6,6,8,9,9,15,20,22,18,18,22,26,22,15,18,19,22,12,17,17
