countyname,countynum,sampsize,popsize,radon
Aitkin,1,4,5400,1
Aitkin,1,4,5400,2.2
Aitkin,1,4,5400,2.2
Aitkin,1,4,5400,2.9
Anoka,2,57,71900,2.4
Anoka,2,57,71900,0.5
Anoka,2,57,71900,4.2
Anoka,2,57,71900,1.8
Anoka,2,57,71900,2.5
Anoka,2,57,71900,5.4
Anoka,2,57,71900,2.2
Anoka,2,57,71900,4
Anoka,2,57,71900,1.1
Anoka,2,57,71900,1.5
Anoka,2,57,71900,5.4
Anoka,2,57,71900,6.3
Anoka,2,57,71900,1
Anoka,2,57,71900,1.9
Anoka,2,57,71900,1.7
Anoka,2,57,71900,0.7
Anoka,2,57,71900,1.1
Anoka,2,57,71900,6.6
Anoka,2,57,71900,3.1
Anoka,2,57,71900,2.3
Anoka,2,57,71900,1.4
Anoka,2,57,71900,2.9
Anoka,2,57,71900,2.9
Anoka,2,57,71900,3.1
Anoka,2,57,71900,1.9
Anoka,2,57,71900,4.5
Anoka,2,57,71900,6.8
Anoka,2,57,71900,1.3
Anoka,2,57,71900,0.6
Anoka,2,57,71900,1.2
Anoka,2,57,71900,1.4
Anoka,2,57,71900,1.8
Anoka,2,57,71900,7
Anoka,2,57,71900,3.3
Anoka,2,57,71900,1.2
Anoka,2,57,71900,7.7
Anoka,2,57,71900,5.2
Anoka,2,57,71900,4.5
Anoka,2,57,71900,2.1
Anoka,2,57,71900,4.4
Anoka,2,57,71900,2.9
Anoka,2,57,71900,5.9
Anoka,2,57,71900,1.8
Anoka,2,57,71900,2.2
Anoka,2,57,71900,3.3
Anoka,2,57,71900,2.8
Anoka,2,57,71900,0.5
Anoka,2,57,71900,1.1
Anoka,2,57,71900,8.1
Anoka,2,57,71900,1.7
Anoka,2,57,71900,1.4
Anoka,2,57,71900,1.6
Anoka,2,57,71900,9.6
Anoka,2,57,71900,6.7
Anoka,2,57,71900,3.5
Anoka,2,57,71900,1.7
Anoka,2,57,71900,7.4
Becker,3,4,11000,1.2
Becker,3,4,11000,4.3
Becker,3,4,11000,4.5
Becker,3,4,11000,2.7
Beltrami,4,7,11500,0.5
Beltrami,4,7,11500,6.3
Beltrami,4,7,11500,4.6
Beltrami,4,7,11500,1.5
Beltrami,4,7,11500,2.4
Beltrami,4,7,11500,4.6
Beltrami,4,7,11500,5.7
Benton,5,4,9500,2.7
Benton,5,4,9500,6.6
Benton,5,4,9500,2.9
Benton,5,4,9500,2.9
Big Stone,6,3,2900,7.2
Big Stone,6,3,2900,5
Big Stone,6,3,2900,2.6
Blue Earth,7,14,18600,1.8
Blue Earth,7,14,18600,6.9
Blue Earth,7,14,18600,5
Blue Earth,7,14,18600,13
Blue Earth,7,14,18600,7.2
Blue Earth,7,14,18600,6.8
Blue Earth,7,14,18600,4.7
Blue Earth,7,14,18600,12.8
Blue Earth,7,14,18600,5.8
Blue Earth,7,14,18600,2
Blue Earth,7,14,18600,9.5
Blue Earth,7,14,18600,3.8
Blue Earth,7,14,18600,14.3
Blue Earth,7,14,18600,4.6
Brown,8,4,10200,2.5
Brown,8,4,10200,6.7
Brown,8,4,10200,4
Brown,8,4,10200,10.1
Carlton,9,11,10500,0.8
Carlton,9,11,10500,1.3
Carlton,9,11,10500,4.2
Carlton,9,11,10500,2.2
Carlton,9,11,10500,1.8
Carlton,9,11,10500,3.4
Carlton,9,11,10500,5.6
Carlton,9,11,10500,4.3
Carlton,9,11,10500,2
Carlton,9,11,10500,3.9
Carlton,9,11,10500,4.7
Carver,10,6,14100,9.6
Carver,10,6,14100,4.4
Carver,10,6,14100,1.6
