"col1","col2","col3","col4","col5","col6"
74970,06996,11136,16428,23607,97462
74077,63454,45058,20708,42772,61311
13557,72942,59693,42635,69187,17870
66824,77092,51315,11910,91362,85877
36135,62133,17762,06766,52006,48746
06176,37697,40726,66014,78540,03503
17171,29089,26149,86755,36502,45455
21223,60124,07325,61085,61663,93814
31842,75317,58670,07821,75722,75152
20516,27594,21126,21262,14847,85513
99217,64548,70107,01059,34794,89863
01991,83000,27894,43577,82087,71504
54377,90482,39785,75722,20978,72511
20121,24555,25752,35312,85403,46189
11571,25668,34005,60874,72564,27470
93725,16472,21779,22432,71132,58118
65299,19900,21083,77915,20234,57314
36671,66533,86361,01327,80226,67405
49870,72912,20126,71728,86130,22113
50647,27134,56117,08650,91732,56189
17834,90311,00470,25024,20604,55526
27421,59467,69163,36665,26139,59445
26586,93561,52994,91112,74191,53986
51769,19891,46105,60143,63230,43817
41635,22882,85301,06875,58116,90778
04382,75863,37867,86246,58449,47432
48736,95362,21908,86094,43262,82826
49226,85080,33783,98388,62526,04014
20854,80874,15061,24566,72654,83590
50093,79411,58243,12538,16000,81354
32746,91894,87531,03933,08670,35011
45655,67247,49062,80256,21828,70217
96268,69668,23518,85192,81640,19832
43792,70776,17047,10233,44527,40725
66726,38354,88229,52784,48167,43464
00305,60732,03985,83552,83744,33572
47203,23522,41528,72453,88184,97289
94417,00980,76255,09103,55746,57149
28492,27329,28987,08292,22457,27594
15068,78906,13085,52751,42272,10144
86628,62686,03694,38080,35208,10638
70099,52095,34944,74139,92323,24202
59642,03751,88891,73720,90197,48857
21373,68891,89516,31394,29618,13531
62249,55787,68112,51338,09111,84084
15068,28465,20985,64222,79260,22767
35078,08613,30709,07408,99171,30553
19643,91937,12828,53404,07541,10589
75025,72481,37200,27222,92688,11164
71553,58597,83573,12991,32797,24758
