Company,Symbol,MarketCap,StockPrice,PE_Ratio,EPS
 Apple ,AAPL,1976,115.54,29.93,3.3
 Amazon ,AMZN,1581,3156.13,71.57,26.04
 Microsoft ,MSFT,1580,208.78,28.44,5.76
 Alphabet ,GOOGL,1046,1535.12,27.11,45.49
 Alphabet ,GOOG,1046,1541.44,27.31,45.49
 Facebook ,FB,776.08,272.42,26.84,8.18
 Berkshire Hathaway ,BRK.B,522.75,218.94,20.09,13690.33
 Visa ,V,450.92,205.39,35.23,5.26
 Johnson and Johnson ,JNJ,403.22,148.89,16.47,5.68
 Wal-Mart ,WMT,389.24,137.36,24.53,6.27
 Procter and Gamble ,PG,345.14,138.63,24.07,4.96
 Mastercard ,MA,339.5,339.14,38.98,7.23
 Home Depot ,HD,321.49,285.58,23.96,10.92
 Nvidia ,NVDA,320.62,519.64,47.03,5.44
 J P Morgan ,JPM,302.57,99.28,11.27,7.47
 United Health ,UNH,291.97,307.23,16.61,17.79
 Verizon Communications ,VZ,250.44,60.60,12.29,4.62
 Adobe ,ADBE,238.72,497.67,44.59,7.58
 Walt Disney ,DIS,237.16,131.24,49.52,-0.61
 Netflix ,NFLX,230.01,495.99,56.36,5.92
 Salesforce ,CRM,229.03,251.68,66.94,2.59
 Coca-Cola ,KO,219.28,51.05,24.66,2.12
 Bank of America ,BAC,219.03,25.28,11.92,2.08
 PayPal ,PYPL,218.26,186.02,40.88,2.18
 Comcast ,CMCSA,215.72,46.46,15.75,2.49
 Merck ,MRK,212.99,84.21,13.28,4.1
 Intel ,INTC,212.65,50.00,10.62,5.44
 Pfizer ,PFE,209.9,36.96,11.03,2.53
 AT&T ,T,207.48,29.12,9.04,1.64
 Abbott Labs ,ABT,188.7,106.58,26.19,1.73
 PepsiCo ,PEP,187.78,135.62,22.83,4.9
 Oracle ,ORCL,187.01,60.94,13.36,3.18
 NIKE ,NKE,186.05,119.27,35.6,1.6
 Thermo Fisher Scientific ,TMO,172.12,435.10,25.22,9.24
 Cisco ,CSCO,171.88,40.60,12.19,2.64
 McDonald's ,MCD,165.47,222.37,27.32,6.33
 AbbVie ,ABBV,160.44,90.91,7.49,4.52
 Exxon Mobil ,XOM,153.36,36.27,24.18,1.68
 Accenture ,ACN,153.03,240.20,29.62,7.64
 Costco ,COST,151.85,343.91,36.55,8.36
 Broadcom ,AVGO,148.42,366.91,14.43,5.32
 Danaher ,DHR,148.05,208.69,32.51,4.68
 United Parcel Service ,UPS,146.31,161.53,20.32,5.03
 T-Mobile US ,TMUS,145.79,115.93,65.13,2.8
 Amgen ,AMGN,145.46,248.35,14.75,12.24
 NextEra Energy ,NEE,144.79,295.70,29.87,7.24
 Medtronic ,MDT,144.6,107.57,18.61,3.26
 Eli Lilly ,LLY,143.55,150.08,18.76,6.15
 Chevron ,CVX,142.57,76.35,26.79,-4.66
 Union Pacific ,UNP,137.38,202.37,22,8.06
 Texas Instruments ,TXN,134.25,140.64,25.76,5.33
 Bristol-Myers Squibb ,BMY,134.18,59.53,8.01,-0.28
 Linde ,LIN,131.72,250.73,28.36,4.23
 Qualcomm ,QCOM,131.53,116.58,18.22,2.36
 Philip Morris International ,PM,127.82,81.40,14.48,4.67
 Lowe's ,LOW,127.74,169.03,19.82,7.5
 Charter Communications ,CHTR,127.56,622.55,31.93,10.45
 American Tower REIT ,AMT,118.93,263.75,53.83,4.31
 Honeywell International ,HON,118.11,168.30,21.52,8.14
 Lockheed Martin ,LMT,109.73,392.55,14.72,22.82
 IBM ,IBM,109.04,122.44,10.02,8.81
 Wells Fargo ,WFC,102.72,24.88,11.85,0.93
 Starbucks ,SBUX,102.53,87.71,32.73,1.13
 3M ,MMM,95.95,166.57,18.49,8.81
 Raytheon Technologies ,RTX,95.62,61.44,0,0
