gender,occupation,ASA
m,a,0
f,n,0
m,a,0
f,i,1
m,i,1
m,a,0
f,a,0
m,a,1
f,n,1
f,a,0
f,a,0
m,i,0
m,a,1
m,a,1
f,a,0
m,a,1
m,a,1
f,i,0
m,i,0
m,n,0
m,a,0
f,a,1
f,i,0
m,a,1
m,a,0
m,a,1
f,a,0
f,a,0
m,i,1
f,a,0
m,a,1
m,a,0
m,a,0
m,a,0
m,i,0
m,a,0
m,a,1
m,n,0
f,a,0
m,a,1
m,a,0
f,n,0
m,a,0
m,i,0
m,a,1
m,a,0
m,a,0
m,a,1
f,a,1
f,i,0
m,a,0
f,a,0
f,a,1
m,a,0
f,i,0
m,a,0
m,a,1
f,i,0
m,a,1
m,a,1
m,a,0
m,a,1
m,n,0
m,a,1
m,a,1
f,a,0
m,a,0
m,a,0
m,a,1
f,i,0
m,i,0
m,a,1
f,a,1
m,a,1
m,a,1
m,i,0
m,a,0
m,n,1
f,n,0
m,a,0
f,a,1
m,a,1
f,a,0
m,a,0
f,a,0
m,a,0
f,i,0
m,a,1
f,i,0
m,a,1
m,a,0
m,i,0
m,a,0
m,a,0
m,a,0
m,i,0
m,a,0
m,a,1
m,a,0
m,i,1
m,a,0
f,n,0
m,a,1
m,i,1
m,i,1
m,n,0
f,a,1
m,n,0
f,n,0
m,a,1
f,a,1
f,n,0
m,n,0
f,n,0
m,n,0
m,a,1
m,i,1
m,a,0
m,a,1
m,a,1
m,n,0
m,n,0
m,n,0
m,n,0
f,a,0
m,a,1
m,n,0
m,a,1
m,i,1
m,n,0
m,n,0
m,n,0
f,n,0
f,i,1
m,a,0
m,a,1
m,n,0
f,n,0
m,a,1
f,a,0
f,a,1
m,a,1
f,n,0
f,a,1
m,a,1
f,a,1
m,n,0
m,a,1
f,n,0
m,n,0
