"county","state","landarea","popn","phys","farmpop","numfarm","farmacre","veterans","percviet","psii","wt"
Wilcox,AL,889,13672,4,666,322,156950,836,20.8,0.0000535994,186.56929198
Maricopa,AZ,9204,2209567,4320,2124,2334,1391456,262170,31.5,0.0086623347,1.1544231788
Maricopa,AZ,9204,2209567,4320,2124,2334,1391456,262170,31.5,0.0086623347,1.1544231788
Pinal,AZ,5370,120786,61,881,730,1958489,14858,29.1,0.0004735266,21.118137532
Garland,AR,678,76100,131,524,389,41293,11055,21.3,0.0002983407,33.518730092
Mississippi,AR,898,55060,48,955,615,488042,5285,33.8,0.0002158559,46.32719506
Contra_Costa,CA,720,840585,1761,607,840,200262,93838,32.5,0.0032954098,3.0345240041
Kern,CA,8142,587680,682,3307,2255,3037068,56910,32.9,0.0023039269,4.3404154642
Los_Angeles,CA,4060,9053645,23677,1154,2035,280156,688576,27.3,0.0354936979,0.2817401566
Los_Angeles,CA,4060,9053645,23677,1154,2035,280156,688576,27.3,0.0354936979,0.2817401566
Los_Angeles,CA,4060,9053645,23677,1154,2035,280156,688576,27.3,0.0354936979,0.2817401566
Los_Angeles,CA,4060,9053645,23677,1154,2035,280156,688576,27.3,0.0354936979,0.2817401566
Merced,CA,1929,189107,185,8893,3048,1049302,15791,37.4,0.0007413707,13.488529563
Orange,CA,790,2484789,6062,46,504,108887,235039,30.9,0.0097413086,1.0265561221
Riverside,CA,7208,1288435,1385,4464,3874,491150,138541,31.2,0.0050511504,1.9797470264
San_Francisco,CA,47,728921,4761,0,5,0,63229,27,0.0028576448,3.4993852009
Ventura,CA,1846,686560,1168,4111,2120,328960,74253,36.1,0.0026915737,3.7152985318
Arapahoe,CO,803,420882,583,583,285,295183,50065,42.5,0.0016500159,6.0605475169
Alachua,FL,874,189409,1180,2295,1161,192255,18369,33.5,0.0007425546,13.467023003
Lee,FL,804,352051,509,372,415,132665,56284,19.8,0.0013801725,7.2454711391
Orange,FL,908,714579,1367,1066,1125,161900,83928,33.9,0.0028014188,3.5696198181
Pinellas,FL,280,854976,1620,25,166,8549,136044,24.6,0.0033518279,2.98344674
Forsyth,GA,226,49859,21,483,478,42909,4729,33.3,0.0001954661,51.159777773
Cook,IL,946,5139341,15153,196,389,46907,457880,24.2,0.0201481521,0.4963234314
Cook,IL,946,5139341,15153,196,389,46907,457880,24.2,0.0201481521,0.4963234314
Cook,IL,946,5139341,15153,196,389,46907,457880,24.2,0.0201481521,0.4963234314
DuPage,IL,334,816116,2157,83,161,25432,73498,31.7,0.0031994821,3.125505884
Kane,IL,521,333626,473,2094,824,227961,30616,32.2,0.0013079396,7.6456132316
Kane,IL,521,333626,473,2094,824,227961,30616,32.2,0.0013079396,7.6456132316
Lake,IL,448,541047,1093,586,448,82349,53060,32.7,0.002121108,4.7145171492
St._Clair,IL,664,263124,329,2950,1101,279859,32026,30.3,0.0010315452,9.6941949803
Williamson,IL,424,58449,63,1987,808,101857,7617,30.4,0.0002291421,43.641043645
Bartholomew,IN,407,65498,102,2950,748,175883,7479,26.7,0.0002567768,38.944324407
Douglas,KS,457,84538,107,1716,852,233426,6476,33.4,0.0003314208,30.173121673
Boone,KY,246,63107,62,1350,810,84750,6363,35.3,0.0002474032,40.419848194
Jefferson,KY,385,670837,2171,432,641,55183,79487,28.4,0.0026299337,3.802377269
Jefferson,KY,385,670837,2171,432,641,55183,79487,28.4,0.0026299337,3.802377269
Jefferson,LA,306,457738,1237,47,102,15748,46391,30.6,0.0017945053,5.5725663152
St._Charles,LA,284,44372,18,18,72,37656,4080,32.4,0.0001739549,57.486148021
Frederick,MD,663,159738,172,2950,1439,236350,17153,36.3,0.0006262331,15.96849441
Worcester,MD,473,37306,24,823,631,123406,5054,22.7,0.0001462536,68.374399828
Oakland,MI,873,1118611,4020,943,596,60358,112416,28.7,0.0043853764,2.2803059866
Oakland,MI,873,1118611,4020,943,596,60358,112416,28.7,0.0043853764,2.2803059866
Hennepin,MN,557,1041332,3706,1094,852,91078,115030,30,0.0040824136,2.449531331
Otter_Tail,MN,1980,51362,55,6626,2925,876319,6415,24.7,0.0002013584,49.662695378
Leflore,MS,592,37477,42,821,281,277137,2427,18.8,0.000146924,68.062421218
Pearl_River,MS,812,39879,22,777,584,123870,4667,31.1,0.0001563407,63.962871687
Jasper,MO,640,91895,135,2169,1418,275511,11002,29.1,0.000360263,27.757498885
