"state","counties","pop2019","landarea","waterarea"
Alabama,67,4903185,131171,4597
Alaska,30,731545,1477953,245384
Arizona,15,7278717,294207,1026
Arkansas,75,3017804,134771,2961
California,58,39512223,403466,20501
Colorado,64,5758736,268431,1170
Connecticut,8,3565287,12542,1816
Delaware,3,973764,5047,1399
District of Columbia,1,705749,158,19
Florida,67,21477737,138887,31424
Georgia,159,10617423,148959,4951
Hawaii,5,1415872,16635,11678
Idaho,44,1787065,214045,2398
Illinois,102,12671821,143793,6202
Indiana,92,6732219,92789,1537
Iowa,99,3155070,144669,1077
Kansas,105,2913314,211754,1346
Kentucky,120,4467673,102269,2387
Louisiana,64,4648794,111898,23761
Maine,16,1344212,79883,11750
Maryland,24,6045680,25142,6990
Massachusetts,14,6892503,20202,7134
Michigan,83,9986857,146435,104052
Minnesota,87,5639632,206232,18930
Mississippi,82,2976149,121531,3907
Missouri,115,6137428,178040,2501
Montana,56,1068778,376962,3869
Nebraska,93,1934408,198974,1356
Nevada,17,3080156,284332,2048
New Hampshire,10,1359711,23187,1027
New Jersey,21,8882190,19047,3544
New Mexico,33,2096829,314161,757
New York,62,19453561,122057,19240
North Carolina,100,10488084,125920,13471
North Dakota,53,762062,178711,4397
Ohio,88,11689100,105829,10269
Oklahoma,77,3956971,177660,3377
Oregon,36,4217737,248608,6191
Pennsylvania,67,12801989,115883,3397
Rhode Island,5,1059361,2678,1324
South Carolina,46,5148714,77857,5076
South Dakota,66,884659,196350,3379
Tennessee,95,6829174,106798,2355
Texas,254,28995881,676587,19075
Utah,29,3205958,212818,7064
Vermont,14,623989,23871,1035
Virginia,133,8535519,102279,8508
Washington,39,7614893,172119,12542
West Virginia,55,1792147,62259,497
Wisconsin,72,5822434,140268,29367
Wyoming,23,578759,251470,1864
