attempt,resprate,benefits,income,employed,note
1,12.8,10.5,-0.05,-1.3,
2,24.6,3.3,-1.1,-2,
3,32.8,1.6,-0.4,0.2,
4,39.6,2.7,0.2,0.4,
5,44.3,3.7,0.7,1.1,
6,47.8,2.7,1.2,1.7,
7,50.9,1.6,2.1,2.5,
8,53,1,2.4,2.4,
9,54.6,0.2,2.8,2.6,
10,55.7,0.2,2.8,2.6,
11,56.8,-0.5,2.7,2.6,
12,57.7,0.1,3,2.5,
13,58.3,-0.3,3,2.7,
14,58.7,-0.1,3,2.7,
15,59.1,-0.5,3.1,2.8,
20,60.1,-0.5,3.4,3,
25,60.4,-0.9,3.3,2.9,End_of_fieldwork
31,61.4,-1,3.3,2.9,Begin_followup
32,62.6,-1.6,3.1,3,
33,63.8,-2.5,3,3.2,
34,64.6,-2.8,3.1,3.3,
35,65.3,-2.7,3.1,3.1,
40,66.8,-2.9,2.9,3,
45,67.4,-3.6,2.9,3.1,End_of_data_collection
