stratum,psu,facility,facsize,finalwt,randgrp,age,race,ethnicty,educ,gender,livewith,famtime,crimtype,everviol,numarr,probtn,corrinst,evertime,prviol,prprop,prdrug,prpub,prjuv,agefirst,usewepn,alcuse,everdrug
7,1,20,53,10,5,14,2,2,7,1,3,1,1,1,24,3,1,1,1,1,0,0,0,11,1,1,1
7,2,20,53,10,6,13,2,2,7,1,3,1,2,1,3,1,1,1,1,0,0,0,0,12,1,1,1
7,3,20,53,10,7,12,2,2,5,2,4,2,1,1,4,0,0,2,0,0,0,0,0,11,2,2,0
7,4,20,53,10,1,15,2,2,8,1,3,2,2,0,6,2,3,1,0,0,1,0,0,13,2,3,0
7,5,20,53,10,2,14,2,1,7,1,1,2,3,1,4,1,7,1,1,0,1,0,0,12,2,2,1
7,6,20,53,14,3,14,1,2,9,1,3,2,2,0,20,3,3,1,0,1,0,0,1,11,2,1,1
7,7,20,53,14,4,16,1,2,9,2,5,1,2,0,2,2,1,1,0,1,0,0,0,16,2,1,1
12,8,21,410,10,1,17,2,2,9,1,1,2,1,1,2,1,0,2,1,0,0,1,1,15,9,1,0
12,9,21,410,10,2,16,2,2,9,2,3,2,2,0,3,3,2,1,0,1,0,0,1,14,2,2,1
12,10,21,410,10,3,14,2,9,8,1,1,1,1,1,5,1,1,1,1,1,0,0,0,11,2,1,1
12,11,21,410,10,4,16,2,2,9,1,3,1,2,0,1,1,99,9,0,0,0,0,0,16,1,1,0
12,12,21,410,10,5,16,2,2,10,1,1,1,4,0,3,0,0,2,0,0,0,0,0,15,1,3,1
12,13,21,410,10,6,16,2,2,9,1,1,1,2,1,4,1,2,1,1,0,1,0,0,13,9,3,1
12,14,21,410,10,7,18,2,2,11,1,1,2,2,1,3,1,4,1,1,0,0,0,0,11,2,1,1
12,15,21,410,14,1,17,1,2,11,1,3,1,4,0,1,0,3,1,0,1,0,0,1,17,2,1,1
12,16,21,410,14,2,17,1,2,11,1,1,2,1,1,10,2,1,1,1,1,1,0,0,16,2,3,1
12,17,21,410,10,3,16,2,2,9,1,1,2,2,1,10,1,4,1,1,1,0,1,0,13,2,3,0
12,18,21,410,14,4,17,1,2,10,1,3,1,2,0,8,1,4,1,0,1,1,0,1,13,2,1,1
12,19,21,410,10,5,16,2,2,9,1,1,1,2,1,3,2,1,1,1,0,0,0,0,15,1,3,0
12,20,21,410,10,6,13,2,2,7,1,3,2,2,0,1,1,1,1,0,1,1,1,1,13,2,1,1
12,21,21,410,10,7,17,2,2,10,1,3,2,2,0,6,2,1,1,0,1,0,0,0,9,2,3,0
12,22,21,410,14,1,16,1,2,11,2,4,2,2,0,99,2,1,1,0,1,0,0,1,15,2,1,1
12,23,21,410,14,2,16,1,2,9,1,1,2,1,1,3,1,1,1,1,1,0,0,1,8,2,1,0
12,24,21,410,10,3,17,2,2,9,1,3,1,2,0,15,1,0,2,0,1,0,1,0,12,2,1,0
12,25,21,410,10,4,17,2,2,9,1,3,1,3,0,3,1,0,2,0,0,1,0,0,15,2,3,1
12,26,21,410,10,5,17,2,2,7,1,1,2,2,0,2,1,0,2,0,0,0,0,0,15,2,3,0
12,27,21,410,14,6,16,1,2,7,1,1,2,1,1,1,0,0,2,0,0,0,0,0,16,2,1,1
12,28,21,410,10,7,18,2,2,10,1,1,2,1,1,26,2,1,1,0,1,0,0,0,15,1,2,1
12,29,21,410,14,1,17,1,2,8,1,7,9,1,1,10,1,9,1,1,1,0,1,1,11,2,1,1
12,30,21,410,10,2,18,2,1,12,1,3,2,1,1,8,3,6,1,1,1,1,0,0,9,2,1,1
12,31,21,410,14,3,18,1,2,12,1,1,2,2,0,20,0,0,2,0,0,0,0,0,15,2,1,1
12,32,21,410,10,4,18,2,2,9,1,1,2,1,1,2,0,0,2,0,0,0,1,0,15,1,2,0
12,33,21,410,10,5,17,2,2,8,1,1,2,2,1,9,1,1,1,1,1,1,1,1,10,2,1,1
12,34,21,410,10,6,17,2,2,10,1,1,2,1,1,3,1,0,2,0,0,0,0,0,16,2,1,1
12,35,21,410,10,7,18,2,2,10,1,3,2,2,0,3,1,0,2,0,0,0,0,0,18,2,2,1
12,36,21,410,10,1,15,2,2,6,2,4,9,1,1,6,2,5,1,1,1,1,0,1,10,2,1,1
12,37,21,410,14,2,18,1,2,10,1,4,1,3,0,30,7,5,1,0,1,1,0,0,12,2,1,1
12,38,21,410,10,3,18,2,2,9,1,4,1,1,1,13,3,0,2,1,1,1,1,0,10,2,1,1
12,39,21,410,10,4,16,2,2,9,1,3,2,2,0,2,1,0,2,0,1,0,0,0,15,2,3,1
12,40,21,410,14,5,17,1,2,9,1,3,2,4,1,2,1,1,1,1,1,0,0,1,16,2,3,0
12,41,21,410,14,6,17,1,2,9,1,99,1,2,0,1,0,1,1,0,0,0,0,0,16,2,1,0
12,42,21,410,10,7,17,2,2,11,1,5,2,1,1,14,1,3,1,0,1,1,0,0,11,2,1,1
12,43,21,410,10,1,18,2,2,11,1,1,1,2,0,2,1,0,2,0,0,0,0,0,17,2,1,1
12,44,21,410,14,2,16,1,2,9,1,3,1,1,1,15,1,5,1,1,1,0,1,1,11,1,1,1
12,45,21,410,10,3,16,2,2,7,1,2,1,2,0,16,2,99,1,0,1,1,0,0,11,2,3,1
12,46,21,410,14,4,14,1,2,7,1,1,2,2,0,5,2,3,1,0,1,0,1,1,9,2,1,1
12,47,21,410,10,5,16,2,2,11,1,1,1,2,0,5,0,0,2,0,0,0,0,0,14,2,3,1
12,48,21,410,10,6,15,2,2,9,1,1,2,2,0,3,2,1,1,0,1,0,0,0,14,2,2,1
12,49,21,410,10,7,17,2,2,11,1,3,2,3,0,2,1,0,2,0,0,0,0,0,15,2,2,0
12,50,21,410,14,1,17,1,2,9,1,3,1,2,0,2,2,0,2,0,1,0,0,0,15,2,1,1
12,51,21,410,14,2,16,1,2,11,1,3,2,1,1,1,0,0,2,0,0,0,0,0,15,1,1,1
12,52,21,410,10,3,15,2,2,9,1,1,1,1,1,4,0,6,1,0,1,1,0,1,13,1,1,1
12,53,21,410,10,4,16,2,2,10,1,4,2,1,1,2,1,0,2,0,0,0,0,0,14,2,3,0
12,54,21,410,10,5,14,2,2,7,1,3,2,3,0,2,0,99,1,0,0,0,0,0,14,2,3,1
12,55,21,410,10,6,15,2,2,9,1,3,1,2,0,4,1,2,1,0,1,0,0,0,12,2,1,1
2,45,45,84,14,3,15,2,1,9,1,3,2,1,1,6,2,1,1,0,0,0,0,0,13,2,1,1
2,45,45,84,14,3,18,1,2,9,1,1,1,2,0,12,1,1,1,0,1,0,0,0,15,2,1,1
2,45,45,84,14,3,15,1,2,9,1,3,2,2,0,3,0,0,2,0,0,0,0,0,14,2,1,0
2,45,45,84,14,3,16,1,2,8,1,1,2,2,0,3,1,0,2,0,1,0,0,0,13,2,2,1
2,45,45,84,14,3,16,1,2,10,1,2,2,1,1,2,1,1,1,1,0,0,0,1,15,2,1,1
2,45,45,84,14,3,13,1,1,9,1,4,1,1,1,7,2,2,1,1,1,0,0,0,9,2,1,0
2,45,45,84,14,3,17,1,2,11,1,3,2,2,0,1,1,0,2,0,1,0,0,0,17,1,1,1
2,45,45,84,14,3,16,1,2,9,1,1,1,1,1,1,1,0,2,0,0,0,0,0,16,2,1,1
2,45,45,84,14,3,17,1,2,11,1,3,2,2,0,1,1,1,1,0,1,0,0,0,16,2,1,1
