dist,school,hrwork,size,preprmin,assist
large,12,35,26,210,0
large,12,35,18,75,0
large,12,35,27,300,0
large,12,34.6,34,90,0
large,12,33.75,30,180,0
large,12,35,27,300,0
large,12,35,17,90,0
large,12,35,29,90,0
large,12,35,20,120,0
large,12,33.75,30,180,0
large,12,52.5,-9,-9,0
large,12,35,26,220,0
large,12,35,30,120,750
large,13,33.75,34,570,0
large,13,35,27,120,120
large,13,35,30,150,0
large,20,38.35,24,120,0
large,20,38.75,24,240,0
large,20,37.5,25,180,0
large,20,32.5,19,120,0
large,20,36.25,21,150,0
large,20,32.5,23,150,0
large,20,37.5,20,150,0
large,20,37.5,20,150,0
large,21,34.15,35,120,0
large,21,37.5,18,420,0
large,21,30.4,22,120,0
large,21,-9,-9,-9,-9
large,21,37.5,20,300,0
large,21,37.5,23,120,0
large,21,-9,-9,-9,0
large,22,38.35,24,120,0
large,22,37.5,25,180,0
large,22,20,25,30,0
large,22,37.5,28,120,0
large,22,37.5,29,120,0
large,22,37.5,24,240,0
large,22,37.5,29,130,0
large,22,38.35,24,240,0
large,22,35,26,180,0
large,22,32.5,29,30,0
large,22,38.35,24,120,0
large,22,37.5,25,180,0
large,22,36.25,24,-9,-9
large,36,32.9,-9,-9,-9
large,36,37.5,35,210,0
large,36,37.5,30,130,0
large,36,40,30,100,0
large,38,39.15,29,150,90
large,38,35.85,33,150,0
large,38,36.65,31,150,120
large,38,39.15,24,120,60
large,38,36.65,29,150,0
large,38,38.75,30,120,0
large,38,37.5,29,200,30
large,38,37.5,28,120,0
large,38,37.5,27,150,120
large,38,37.9,30,210,0
large,41,37.1,31,140,0
large,41,36.65,33,150,0
large,11,29.15,24,90,150
large,11,35,27,120,480
large,11,34.15,30,60,0
large,11,34.15,34,90,0
large,11,34.15,31,120,0
large,11,37.1,26,120,0
large,11,34.15,31,90,0
large,11,34.15,35,90,200
large,11,34.15,25,180,0
large,11,33.75,28,90,0
large,30,37.5,23,300,0
large,30,37.95,27,140,30
large,30,37.5,23,-9,0
large,30,37.5,24,150,0
large,30,37.1,20,120,0
large,30,34.15,30,235,0
large,30,36.65,22,120,650
large,30,32.5,25,225,0
