"apc","p2sample","vietnam","phase1wt","phase2wt","finalwt","p1apcsize","p2apcsize"
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,1,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,1,0,5,11.268656716,56.343283582,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
Yes,0,-9,5,-9,-9,755,67
