stratum,adm_state,state,trucktype,tabtrucks,bodytype,adm_modelyear,vius_gvw,miles_annl,miles_life,mpg,opclass,opclass_mtr,opclass_own,opclass_psl,opclass_pvt,opclass_rnt,transmssn,trip_primary,trip0_50,trip051_100,trip101_200,trip201_500,trip500more,adm_make,business
61,6,CA,1,18410.017,1,11,1,17291,174521,15,5,0,0,100,0,0,1,2,90,5,0,0,5,1,-99
61,6,CA,1,18410.017,1,17,1,8892,171465,-99,1,0,0,0,100,0,1,3,0,100,0,0,0,1,6
61,6,CA,1,18410.017,1,2,1,20000,37710,18,1,0,0,0,100,0,1,2,100,0,0,0,0,1,11
61,6,CA,1,18410.017,1,6,1,8000,32000,16,5,0,0,100,0,0,2,2,100,0,0,0,0,1,-99
61,6,CA,1,18410.017,1,3,1,300,12700,17,5,0,0,100,0,0,1,1,50,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,3,1,10000,37652,20,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
61,6,CA,1,18410.017,1,5,1,10000,127000,17.5,5,0,0,100,0,0,1,2,50,50,0,0,0,1,-99
61,6,CA,1,18410.017,1,10,1,6000,113001,12,1,0,0,10,90,0,1,4,25,25,25,0,25,4,9
61,6,CA,1,18410.017,1,17,1,8000,165000,10,5,0,0,100,0,0,1,2,100,0,0,0,0,6,-99
61,6,CA,1,18410.017,1,3,1,15000,45000,15,5,0,0,100,0,0,1,2,90,0,10,0,0,3,-99
61,6,CA,1,18410.017,1,3,1,25000,80000,10,5,0,0,100,0,0,1,2,80,0,0,20,0,6,-99
61,6,CA,1,18410.017,1,8,1,10000,103100,26,5,0,0,100,0,0,1,2,100,0,0,0,0,3,-99
61,6,CA,1,18410.017,1,3,2,30000,37000,-99,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,15,2,3968,81192,-99,1,0,0,0,100,0,1,2,100,0,0,0,0,4,10
61,6,CA,1,18410.017,1,8,1,18000,190000,15,5,0,0,100,0,0,1,2,80,0,10,10,0,6,-99
61,6,CA,1,18410.017,1,2,1,26220,320170,-99,5,0,0,90,10,0,1,2,100,0,0,0,0,6,-99
61,6,CA,1,18410.017,1,3,1,17000,68000,14,5,0,0,100,0,0,1,2,40,10,20,10,20,3,-99
61,6,CA,1,18410.017,1,1,1,4000,7000,20,5,0,0,100,0,0,2,5,5,0,0,95,0,3,-99
61,6,CA,1,18410.017,1,11,1,10000,170000,20,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,2,1,40000,60343,19,5,0,0,100,0,0,1,2,70,20,0,10,0,3,-99
61,6,CA,1,18410.017,1,8,1,9000,87000,22.5,5,0,0,95,5,0,2,2,95,3,2,0,0,1,-99
61,6,CA,1,18410.017,1,17,1,16538,112538,25,1,0,0,0,100,0,1,2,100,0,0,0,0,18,11
61,6,CA,1,18410.017,1,11,1,10811,22100,16,5,0,0,100,0,0,2,2,90,10,0,0,0,1,-99
61,6,CA,1,18410.017,1,2,2,24000,29000,10,1,0,0,0,100,0,1,4,0,0,70,30,0,1,6
61,6,CA,1,18410.017,1,17,2,4000,144000,12,5,0,0,100,0,0,1,2,90,0,10,0,0,4,-99
61,6,CA,1,18410.017,1,11,1,10000,130000,20,5,0,0,75,25,0,2,2,90,0,0,5,5,13,-99
61,6,CA,1,18410.017,1,17,3,800,183225,10,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,2,1,5000,12000,25,5,0,0,100,0,0,1,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,15,1,9000,200800,14.5,5,0,0,100,0,0,1,2,50,5,5,10,30,4,-99
61,6,CA,1,18410.017,1,11,2,10000,117000,15,5,0,0,100,0,0,1,3,0,100,0,0,0,6,-99
61,6,CA,1,18410.017,1,15,2,10000,100000,18,5,0,0,100,0,0,1,6,0,0,0,0,100,4,-99
61,6,CA,1,18410.017,1,3,1,12000,34500,18,1,0,0,0,100,0,2,2,95,0,5,0,0,3,10
61,6,CA,1,18410.017,1,16,1,3000,219554,22,1,0,0,25,75,0,2,3,0,100,0,0,0,13,12
61,6,CA,1,18410.017,1,10,1,12668,161417,-99,5,0,0,100,0,0,2,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,17,1,7500,209000,24,5,0,0,100,0,0,2,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,1,1,9000,14185,20,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,9,1,25350,172995,20,5,0,0,100,0,0,2,2,100,0,0,0,0,18,-99
61,6,CA,1,18410.017,1,12,1,0,139482,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,4,-99
61,6,CA,1,18410.017,1,17,1,441,100000,9,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
61,6,CA,1,18410.017,1,17,1,5934,152279,19,1,0,0,0,100,0,2,2,100,0,0,0,0,18,6
61,6,CA,1,18410.017,1,17,1,5187,171465,-99,6,-99,-99,-99,-99,-99,2,8,-99,-99,-99,-99,-99,9,-99
61,6,CA,1,18410.017,1,8,1,6000,41619,23.5,5,0,0,100,0,0,2,2,90,0,0,10,0,4,-99
61,6,CA,1,18410.017,1,1,1,12674,27851,13,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,13,-99
