id,child,preschool,numadult
5999,0,0,0
7416,0,0,0
29232,0,0,0
14583,0,0,0
37181,1,0,0
16070,1,1,0
9895,0,0,0
20092,1,1,1
10944,0,0,0
11568,0,0,0
3523,0,0,0
23318,1,0,1
23318,1,1,1
32203,0,0,0
24735,1,0,0
24735,1,0,1
30564,0,0,0
18416,0,0,0
21710,0,0,0
36491,1,0,1
11307,1,1,0
23999,0,0,0
7340,0,0,0
26171,0,0,0
21412,1,0,1
29096,0,0,0
2219,1,1,1
10530,1,1,1
18604,0,0,0
39076,0,0,0
4830,0,0,0
3633,0,0,0
28359,0,0,0
10142,0,0,0
10238,1,1,0
17831,1,0,0
17831,1,0,1
17831,1,1,1
13425,0,0,0
36745,1,1,0
28525,0,0,0
28854,0,0,0
6163,1,1,1
35486,0,0,0
33511,0,0,0
20855,0,0,0
240,0,0,0
29723,0,0,0
19157,1,1,1
28462,0,0,0
33410,0,0,0
12328,0,0,0
37570,0,0,0
19560,1,1,0
35970,0,0,0
13033,0,0,0
34861,1,1,0
31911,1,0,1
16040,1,1,1
16040,1,0,1
12478,0,0,0
26687,0,0,0
15101,0,0,0
13739,0,0,0
12040,1,1,0
16767,0,0,0
17642,1,0,1
17642,1,0,1
12979,1,0,1
14054,0,0,0
27142,1,0,1
27142,1,1,0
16587,1,0,1
26184,0,0,0
21649,0,0,0
11618,0,0,0
17882,1,1,1
11100,0,0,0
23026,1,0,1
5099,1,1,1
21473,0,0,0
12190,1,1,1
12190,1,0,1
12190,1,1,0
18017,0,0,0
20900,1,0,0
23370,1,1,1
12159,0,0,0
19627,0,0,0
37884,0,0,0
4218,0,0,0
15871,0,0,0
7007,0,0,0
33870,1,1,1
7631,0,0,0
36167,1,1,1
36167,1,0,0
36167,1,0,0
36167,1,0,1
26240,0,0,0
8704,0,0,0
18375,1,1,1
18375,1,0,1
18375,1,0,1
14561,1,1,0
2496,1,0,1
28446,1,0,1
8732,0,0,0
16069,0,0,0
13914,1,0,0
1811,1,0,1
26497,0,0,0
35818,0,0,0
28681,1,1,1
