"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour","orig.id"
"1",2013,2,19,928,935,-7,1207,1235,-28,"VX",251,"N852VA","JFK","LAS",314,2248,9,35,2013-02-19 09:00:00,"74915"
"2",2013,7,17,1335,1340,-5,1648,1700,-12,"AA",1073,"N3FSAA","LGA","MIA",151,1096,13,40,2013-07-17 13:00:00,"157231"
"3",2013,5,13,558,600,-2,844,916,-32,"UA",1169,"N33103","JFK","LAX",307,2475,6,0,2013-05-13 06:00:00,"120595"
"4",2013,9,19,648,641,7,1035,810,145,"UA",1262,"N17244","EWR","ORD",169,719,6,41,2013-09-19 06:00:00,"192915"
"5",2013,6,14,1257,1300,-3,1524,1552,-28,"UA",636,"N495UA","LGA","IAH",171,1416,13,0,2013-06-14 13:00:00,"138494"
"6",2013,11,25,1856,1858,-2,2128,2150,-22,"B6",711,"N661JB","JFK","LAS",310,2248,18,58,2013-11-25 18:00:00,"45994"
"7",2013,8,8,1410,1350,20,1658,1622,36,"UA",744,"N411UA","EWR","DFW",185,1372,13,50,2013-08-08 13:00:00,"169967"
"8",2013,3,21,916,910,6,1226,1213,13,"DL",1885,"N369NW","LGA","MCO",135,950,9,10,2013-03-21 09:00:00,"91362"
"9",2013,2,19,1857,1900,-3,2246,2301,-15,"DL",1967,"N723TW","JFK","SFO",348,2586,19,0,2013-02-19 19:00:00,"75210"
"10",2013,12,23,2347,2255,52,37,2356,41,"B6",718,"N612JB","JFK","BOS",34,187,22,55,2013-12-23 22:00:00,"61164"
"11",2013,10,7,1304,1300,4,1430,1430,0,"UA",1734,"N13138","EWR","ORD",111,719,13,0,2013-10-07 13:00:00,"19334"
"12",2013,7,16,857,859,-2,1125,1137,-12,"DL",1747,"N943DL","LGA","ATL",106,762,8,59,2013-07-16 08:00:00,"156512"
"13",2013,9,20,2157,1910,167,44,2215,149,"AA",21,"N324AA","JFK","LAX",322,2475,19,10,2013-09-20 19:00:00,"193997"
"14",2013,11,10,917,921,-4,1231,1235,-4,"B6",223,"N636JB","JFK","LAX",339,2475,9,21,2013-11-10 09:00:00,"37492"
"15",2013,5,17,1559,1555,4,1720,1727,-7,"UA",597,"N835UA","EWR","ORD",119,719,15,55,2013-05-17 15:00:00,"123184"
"16",2013,8,29,1848,1850,-2,2130,2220,-50,"VX",29,"N854VA","JFK","SFO",321,2586,18,50,2013-08-29 18:00:00,"182229"
"17",2013,4,4,1443,1445,-2,1800,1805,-5,"AA",1925,"N3FTAA","LGA","MIA",161,1096,14,45,2013-04-04 14:00:00,"99265"
"18",2013,8,21,829,825,4,1114,1108,6,"DL",1959,"N3749D","JFK","MCO",148,944,8,25,2013-08-21 08:00:00,"177299"
"19",2013,12,26,1657,1700,-3,1821,1843,-22,"UA",689,"N842UA","LGA","ORD",123,733,17,0,2013-12-26 17:00:00,"62549"
"20",2013,10,20,824,825,-1,922,935,-13,"AA",84,"N3EJAA","JFK","BOS",39,187,8,25,2013-10-20 08:00:00,"26180"
"21",2013,12,1,726,729,-3,1012,1020,-8,"B6",461,"N661JB","LGA","PBI",142,1035,7,29,2013-12-01 07:00:00,"48653"
"22",2013,10,8,1040,1046,-6,1335,1330,5,"B6",483,"N641JB","JFK","MCO",152,944,10,46,2013-10-08 10:00:00,"19830"
"23",2013,9,22,1454,1455,-1,1617,1614,3,"DL",1164,"N320US","JFK","BOS",38,187,14,55,2013-09-22 14:00:00,"194735"
"24",2013,3,1,754,750,4,1104,1045,19,"B6",389,"N570JB","LGA","MCO",160,950,7,50,2013-03-01 07:00:00,"80307"
"25",2013,3,21,1444,1445,-1,1805,1819,-14,"DL",963,"N721TW","JFK","LAX",334,2475,14,45,2013-03-21 14:00:00,"91502"
"26",2013,4,14,752,800,-8,1052,1106,-14,"B6",553,"N558JB","EWR","RSW",155,1068,8,0,2013-04-14 08:00:00,"104640"
"27",2013,12,3,1949,2000,-11,2157,2136,21,"UA",1498,"N76505","LGA","ORD",120,733,20,0,2013-12-03 20:00:00,"50254"
"28",2013,9,10,1244,1259,-15,1512,1557,-45,"DL",1375,"N3772H","JFK","SLC",252,1990,12,59,2013-09-10 12:00:00,"188345"
"29",2013,8,10,816,720,56,1048,958,50,"UA",376,"N429UA","LGA","IAH",191,1416,7,20,2013-08-10 07:00:00,"170943"
"30",2013,9,9,648,655,-7,752,809,-17,"B6",318,"N284JB","JFK","BOS",36,187,6,55,2013-09-09 06:00:00,"187587"
"31",2013,9,23,2056,2054,2,2359,2359,0,"B6",523,"N644JB","JFK","LAX",323,2475,20,54,2013-09-23 20:00:00,"195516"
"32",2013,2,23,1938,1901,37,2257,2158,59,"UA",432,"N810UA","EWR","PBI",175,1023,19,1,2013-02-23 19:00:00,"77402"
"33",2013,7,21,806,810,-4,1021,1029,-8,"DL",27,"N3735D","JFK","ATL",103,760,8,10,2013-07-21 08:00:00,"159348"
"34",2013,6,5,1456,1459,-3,1743,1732,11,"DL",2347,"N673DL","LGA","ATL",111,762,14,59,2013-06-05 14:00:00,"133460"
"35",2013,12,4,1050,1040,10,1343,1355,-12,"AA",1599,"N3KJAA","LGA","MIA",140,1096,10,40,2013-12-04 10:00:00,"50499"
"36",2013,11,23,1259,1300,-1,1650,1610,40,"VX",411,"N627VA","JFK","LAX",377,2475,13,0,2013-11-23 13:00:00,"44740"
"37",2013,7,22,2142,1916,146,NA,2214,NA,"B6",883,"N641JB","JFK","MCO",NA,944,19,16,2013-07-22 19:00:00,"160320"
"38",2013,9,24,1609,1615,-6,1911,1915,-4,"AA",65,"N3KUAA","JFK","DFW",202,1391,16,15,2013-09-24 16:00:00,"195897"
"39",2013,2,26,1020,910,70,1131,1032,59,"B6",20,"N203JB","JFK","ROC",51,264,9,10,2013-02-26 09:00:00,"78736"
"40",2013,1,15,1149,1144,5,1434,1445,-11,"UA",1707,"N39297","EWR","TPA",149,997,11,44,2013-01-15 11:00:00,"7512"
"41",2013,10,22,2240,2255,-15,2347,9,-22,"B6",486,"N328JB","JFK","ROC",49,264,22,55,2013-10-22 22:00:00,"27723"
"42",2013,1,29,1847,1850,-3,2142,2212,-30,"DL",2159,"N385DN","JFK","MCO",132,944,18,50,2013-01-29 18:00:00,"14737"
"43",2013,2,16,1457,1455,2,1813,1757,16,"B6",141,"N663JB","JFK","PBI",171,1028,14,55,2013-02-16 14:00:00,"73476"
